key
-able
"-acho, cha"
"-achuelo, la"
-achón
-ación
"-aco, ca"
"-adero, ra"
"-ado, da"
"-ador, ra"
-adura
"-aico, ca"
"-ajo, ja"
-ajón
-amento
-amiento
-ancia
"-anco, ca"
"-ango, ga"
"-ano, na"
"-aracho, cha"
-arada
-arajo
"-ardo, da"
-areda
"-ario, ria"
"-arraco, ca"
-arrada
-arrajo
"-arro, rra"
-arrón
"-asco, ca"
-asis
-astre
"-astro, tra"
"-astrón, na"
"-atario, ria"
"-ativo, va"
"-ato, ta"
"-atorio, ria"
"-avo, va"
"-azo, za"
"-año, ña"
-bilidad
"-bilísimo, ma"
-cer
"-cete, ta"
"-cico, ca"
"-cillo, lla"
"-cito, ta"
"-cultor, ra"
"-dero, ra"
"-dor, ra"
"-ececico, ca"
"-ececillo, lla"
"-ececito, ta"
"-ecezuelo, la"
"-ecico, ca"
"-ecillo, lla"
"-ecito, ta"
"-eco, ca"
-edad
-edal
"-edero, ra"
"-edo, da"
"-edor, ra"
-edura
"-ego, ga"
"-ejo, ja"
-ejón
"-elo, la"
-ema
-encia
"-enco, ca"
"-engo, ga"
"-eno, na"
"-ento, ta"
"-eo, a"
"-ero, ra"
"-esco, ca"
"-esino, na"
-esis
"-ete, ta"
-etón
"-ezno, na"
"-ezuelo, la"
"-eño, ña"
"-génico, ca"
"-génito, ta"
"-huelo, la"
"-iano, na"
-ible
"-ichuelo, la"
"-icio, cia"
-ición
"-ico, ca"
"-icón, na"
-idad
"-idero, ra"
"-ido, da"
"-idor, ra"
-idura
"-iego, ga"
-iense
"-iento, ta"
"-ijón, na"
"-illo, lla"
-imento
-imiento
"-ingo, ga"
"-ino, na"
"-io, ia"
"-iondo, da"
"-isco, ca"
"-itivo, va"
"-ito, ta"
"-itorio, ria"
"-ivo, va"
"-izco, ca"
"-izo, za"
-nta
-oideo
-oides
"-or, ra"
"-orrio, rria"
"-orro, rra"
-osis
"-oso, sa"
"-ote, ta"
"-rro, rra"
"-sco, ca"
-strajo
"-stático, ca"
"-tano, na"
"-termo, ma"
"-tomo, ma"
"-tor, ra"
"-torio, ria"
"-ucho, cha"
"-uco, ca"
"-udo, da"
"-uelo, la"
"-uno, na"
"-usco, ca"
"-uzco, ca"
"-zuelo, la"
"-áceo, a"
"-án, na"
"-áneo, a"
"-és, sa"
"-ésimo, ma"
"-ín, na"
"-íneo, a"
"-ío, a"
"-ísimo, ma"
"-ístico, ca"
"-ón, na"
ABS
ADN
ADSL
AM
ARN
ATS
AVE
Abraham
Abrahán
Adviento
Agramante
Airón
Alcalá
Alcorán
Alcántara
Alejandría
Alicante
Allen
Altísimo
Alzheimer
América
Américas
Amón
Anchuelo
Andrés
Antillas
Antonio
Antón
Aquiles
Aragón
Armenia
Arquímedes
Arrás
Babia
Bamba
Barcelona
Batavia
Batuecas
Bayona
Bañón
Bierzo
Blas
Bohemia
Bona
Brasil
Bright
Briján
Bruselas
Buenos Aires
Burgos
Bárbara
CD
CD-ROM
COVID
Cabo
Cachano
Calabar
Calatrava
Calaínos
Calañas
Calleja
Canadá
Cancelaría
Caplán
Caravaca
Cardona
Carracuca
Casio
Caín
Ceilán
Celsius
Chagas
Chiapa
Chile
Cobos
Compostela
Congreve
Constantinopla
Coria
Corinto
Corpus
Corán
Cribas
Cuasimodo
Cuenca
Cástor y Pólux
DDT
DIN
DNA
DNI
DVD
Damocles
David
Deo volente
Domingo
Down
Duero
ESO
Edipo
Egeria
Egipto
El Escorial
Electra
Ertzaintza
Escila
Escocia
España
Espinosa
Estocolmo
Etiopía
Europa
Eustaquio
Fahrenheit
Falopio
Fernambuco
Flandes
Florencia
Florida
Fraga
Francia
Frisia
GPS
Gambia
Gargajo
Gauss
Gloria Patri
Golgi
Graaf
Guernesey
Génova
Higuera
Hinojosa
IPC
IRPF
ISBN
ISO
