entry,rae_id
-able,06VsTFX
-acha,0PIrrVu
"-achuelo, la",0SQc5ML
-achón,0SBXoGb
-ación,0UA3ZBx
"-adero, ra",0jP2F4J
"-ador, ra",0oWyp5O
-adura,0ryHaU5
-aja,1Lt96si
-ajón,1ODlufO
-amento,2K4DV1i
-amiento,2LawU8M
-anca,2XMJWuw
-ancia,2Xiwer9
"-aracho, cha",3O3jFBC
-arada,3OFFcWZ
-arajo,3OcnTet
-arda,3TTn0OY
-areda,3UT4ta2
-aria,3YOm1pz
"-arraco, ca",3eTuBLy
-arrada,3eWZduP
-arrajo,3evVv2y
"-arro, rra",3li1D1e
-arrón,3nOEaqM
"-asco, ca",3wGcnoF
-asis,411V9qv
-astra,45Zlbwf
-astre,45s6f5P
"-astrón, na",46SgWle
-ata,481XZob
"-ativo, va",4G4oVYf
"-atorio, ria",4INg5C0
-aza,4crOWjF
-aña,30StUmq
-bilidad,5Vqc7J7
"-bilísimo, ma",5W1OgFg
-cer,8I7zs8i
"-cete, ta",8QNNVMi
"-cico, ca",9AFD0eR
"-cillo, lla",9DOeZ6d
-céfala,86XYrnu
-dera,CGfhSUV
"-ececico, ca",EJSx8hb
"-ececillo, lla",EJTKIJ8
"-ececito, ta",EJUJr7w
"-ecezuelo, la",EJXirtP
"-ecico, ca",EK89MlR
"-ecillo, lla",EKB9w4I
"-ecito, ta",EKC7WWx
-eda,EN8Mgni
-edad,ENATORl
-edal,ENFwLx8
"-edero, ra",ENQ9cwG
"-edor, ra",ENvG7Ws
-edura,EORpzyf
"-ego, ga",EQoE7aL
-eja,ERh5MsS
-ejón,ESkmCZU
-ela,ESsj0Wl
-ema,EZ2Ofo7
-ena,EuQNprD
-encia,F64wazA
-enga,FK4Muew
"-esco, ca",GF6D1qs
"-esino, na",GQkD91K
-esis,GQmPBto
-eta,H3BkHkv
-etón,H5GTUpN
"-ezuelo, la",HR22WKq
-eña,FuLB8zN
"-huelo, la",KlAQG5L
"-iano, na",KrWQlR5
-ible,KrqSttz
"-ichuelo, la",Ks8Pn8e
-ición,KsCJZny
-idad,KtLQ9qb
"-idero, ra",KuHA7rF
"-idor, ra",KvB1ZIY
-idura,KvGioHm
-iense,KvNh82L
"-iento, ta",KvPM0mO
-illa,KytulPG
-imento,L11ttMb
-imiento,L120iDS
-inga,La1teFQ
"-isco, ca",MAR83U2
"-itivo, va",MEVTZG4
"-itorio, ria",MEeJQTG
-iva,MEsPnbu
-iza,MF2CsuF
"-izco, ca",MFILa1i
-lisis,NPwyb64
-mancía,O8mbguA
-nta,QgY70aB
-oideo,Qx5xQD0
-oides,Qx62D6n
"-orrio, rria",RFiXRLQ
"-orro, rra",RFkmHVm
-osis,RI6iTY9
-scopía,XNSRYRE
-strajo,YUEHlL1
"-tano, na",Z5V5Ss6
-terma,ZYamTRB
-toria,a59XZ51
"-usco, ca",bBCLrg8
"-uzco, ca",bDvxJQj
"-zuelo, la",cWPN9rE
a posteriori,3HFytIB
a priori,3JdXcMt
a quo,3NK26ap
a radice,3OGLpcR
a sensu contrario,3xNuNuB
a simili,40P0NEL
abadesa,00gSU3j
abarrisco,037e7SP
abatí,03oHciI
abc,03tCzV4
abejera,04N7aoS
abierta,05MCrQK
abollar,07m5NpX
abonadora,08IftT5
abrigada,0B3d5sT
absoluta,0CQg6do
accesoria,0KDGVKG
acedia,0LG0QAi
acefalía,0LU9i6U
aceitera,0Luaqmv
aceitunera,0M0ZnQA
achiotera,0RPCYK9
acordada,0Z993Qe
acrótera,0cGWrDR
activa,0ccrWQf
actriz,0ctDr83
acuseta,0gI2pQr
acústica,0gTAXCX
ad libitum,0m3VSvG
ad limina,0m7crM7
ad litteram,0m8gjWK
ad nauseam,0n7ESlF
ad nutum,0nEwxpa
ad pedem litterae,0pIkOuK
ad perpetuam,0pK95xy
ad personam,0pL4UU7
ad quem,0pLV5dW
ad referendum,0pvnJ9h
ad tempus,0qV5tGo
ad valorem,0sGeln3
adefesios,0iFhffk
ademprío,0io2ep7
aden-,0ioeUDY
adjetiva,0lVnVLV
adnata,0n4XdpP
adversador,0sYvIAi
aerobic,0tBG92s
aerodinámica,0tYmFQG
aeromancía,0uCosyn
aeronáutica,0ubbq5X
aerostática,0uqgbVo
aeróstato,0uxL76E
afeitadora,0wdi1ef
afiladora,0xoMXgS
"afilo, la",0y37r2G
afirmativa,0ycFGaM
aforística,0zv8IHo
africana,10vYB65
"afrodisiaco, ca",11Q4jXn
aga,12KiSIg
agachona,12e3GSx
agaragar,13Nyz9t
agavilladora,14TiIVf
agonística,16UTRox
agracera,17NNAA1
agrafía,17qbmUj
agroquímica,1B3LjjP
aguadera,1C0nIxI
aguatarse,1DpFwjW
aguate,1Dpj09O
aguay,1ECAZbG
aguzadera,1G471f3
aguzadora,1GEXyaI
agógica,16BkUFm
agüizote,1FL4mvJ
ahogadora,1Hu59n9
ahorrativa,1J10OIj
ahuautle,1JWo8jM
ahuyama,1KOWh2K
aizcolari,1Lk1KqF
ajamonada,1M4SbWm
ajigolón,1NUNCcl
ajorro,1Om3Ezw
ajó,1Ntkz8o
alabardero,1Q0yqpD
alabastrina,1Q242i4
alada,1QuKVzu
"alasqueño, ña",1Tjubkw
alavesa,1U9YRrd
alba,1UNXFTI
albariza,1W25980
albina,1Xicsjh
alcachofera,1aRbHxK
alcahueta,1aiycot
alcaldesa,1bRNuN0
alcanforada,1c4vIcv
alcoholera,1e2myMH
alderredor,1fivPao
ale,1foO63z
alectomancía,1gTIdTP
alelí,1hfBEGl
alemana,1hnfNB6
"alergeno, na",1iLSSUF
alevosa,1j3fgvF
alfonsina,1lwOn0d
algodonosa,1nciN5y
alguacila,1o252mY
algún,1oNT36b
alhacena,1oQY99V
alhajú,1oam3Bk
almendrada,1yGWkSK
almizclera,1zGWnRF
almizcleña,1zFkx9t
aloe,238vvwR
aloes,23B1puK
altamar,25stLlQ
alternativa,26slKPK
aluda,28mj8GR
alveolo,2AEiHdB
alzacuellos,2AZVc4A
alzadora,2AmISK8
alá,1Pe7pgO
alárgama,1T0nbAc
ama,2B8kfMX
amansadora,2DcPO2c
amarilla,2EoJZhb
amasadora,2GLrQbY
ambarina,2HOl4vv
americana,2K9YL6a
americanística,2KF3Dlk
ametralladora,2KzrTrj
amiga,2Lc1QB9
amoníaco,2Ooa8J2
ampliadora,2RfuxeS
ampère,2RUsypi
an-,2TRlsTw
anacardina,2U8l9cP
"anafrodisiaco, ca",2V03tsc
analítica,2VoKg5m
ananá,2W5o13H
ancha,2XRMrCg
andadera,2YXnRRM
andobas,2Zv5c6T
anemona,2bbUVYj
anglística,2eKnwDU
anhidrido,2gIELlE
annamita,2iq6Gbx
"antiafrodisiaco, ca",2ok6Mf7
anticaídas,2pNzl4T
"antisicótico, ca",2wIDr4h
antitraspirante,2wqz046
antístrofa,2wYmOyv
anámnesis,2VzRvYk
anófeles,2jBQGLN
aparcera,3587fNl
aparthotel,36BVZHD
apena,387ROkb
aplanadora,3Bnk9aC
apologética,3EZzYZ4
apolonida,3Esaliv
apretadera,3J9k4Dc
aquella,3MBgAno
"aquellos, llas",3MH5fe6
aquelo,3MH8U50
"aquelos, las",3MHDPUA
aqueso,3MZX30e
"aquesos, sas",3Mb2ozD
aquesto,3Md6DX9
"aquestos, tas",3MeP0Xe
archiduquesa,3SU3cyR
archivística,3SomXeN
arcoíris,3TGhZfI
arenisca,3UxKkhT
areíto,3UdKnnj
argentada,3WoUD5H
argentina,3X7nqyn
argüendera,3Xu4kOT
arismética,3Z5mYIH
aritmética,3Zrrqep
arlequinada,3ZwMhhL
armada,3a7CFRY
armadora,3aPm9R1
armoníaco,3bdHChy
armónica,3bfmifA
arracacha,3eFSnB4
arraigada,3ee1Ofg
arrancadora,3fEFSmb
arrepentida,3jPItMa
arrocera,3m7CzBr
artos,3sJMItT
artroscopía,3sjnVrP
"arábigo-andaluz, za",3NeA474
aréola,3V9YwMg
asafétida,3uPK9SU
ascética,3vysEfT
aserradora,3yCWYes
asfaltadora,3zHGebA
asimétrica,406ILth
asistenta,416Tos5
askenazi,41AeRM9
asna,41RlV0z
aspiradora,44ExbGp
asquenazi,44Ss2hm
asquenazí,44WBVCI
astrakán,45mqEge
astrofísica,46EQ9Ky
astronáutica,46bhajo
"atarbán, na",4AfKXgg
atmosfera,4GU1ZFH
atríaca,4Kc0BjZ
atunera,4Lz9hWl
"austríaco, ca",4QNt0uN
autocrítica,4Rqb3gM
automática,4TMrILg
auténtica,4QfoIPr
autólisis,4TEQIWB
avanzada,4WbdXIG
avellanera,4XVhF4b
aviada,4ZAqHWN
axiomática,4bLPubz
ayatola,4bwzYRg
azafata,4dEmlvR
azimut,4ejZSJ5
azimutal,4ejje40
azoe,4fDZ8uA
azucarera,4ghk9Wr
azufrera,4hEvZey
azulona,4hrK8hF
azálea,4dc28MI
babosa,4iygsO0
baciloscopía,4kU7Nfn
baden,4lXYG8E
baguala,4mUXVQO
bahreiní,4mto7ZL
bailarina,4nQU5TK
bajera,4oioopc
bajinis,4ov1qQc
balano,4qfaCEU
balaustrada,4rF0Frq
balaústre,4rPvE9s
ballenera,4tygqH8
balística,4tffRcZ
baraca,50A4Bjr
baraúnda,51RHZZX
barbera,52OzZPv
"barillero, ra",55Nqh9R
baronesa,569MwGQ
barquillera,56K61VQ
barrabrava,56dr0WM
barragana,56tl39c
barraquera,57IluUS
barredera,57VWHSp
barísfera,55Pw6gD
basquetbol,5AnsPqz
bastarda,5BDnJ8H
bastonera,5CEIv77
bataola,5CtrUkl
batidora,5DdxR4I
bayonesa,5FFjfmn
bañera,4z27tUl
be bop,5H3fw93
be-bop,5H3vsS2
bearnesa,5Fv1PVY
beata,5FyXtUH
bebedera,5GXPgZO
becerra,5HOYcjh
becqueriana,5HgPAQm
beguina,5IH0QvJ
beisbol,5IRbmEw
bellotera,5KKBfU7
bemba,5KfFKaZ
bencinera,5LFAj0t
benzina,5MSZKHS
berlinesa,5NbuFeg
beréber,5N5cx1g
besapié,5PJk372
bestializarse,5Pa1lZo
besuguera,5Pvk1Ay
bezar,5R7VT7A
bibliomancía,5SBnMM3
bibliópola,5SCwAWf
bicentenario,5SmbvWQ
bienvenida,5UWCc5S
billetera,5WNgHLD
billonésima,5WTDlKt
biodinámica,5YBnKmy
bioenergética,5YIiPR7
biofísica,5YQovsb
bioinformática,5YjLfmg
biomecánica,5Z8l3QF
bioquímica,5ZNaOIk
bioética,5YQWij3
biquini,5aUB4mw
biraró,5aUWMlC
bisectriz,5bfwTdR
bitcoin,5cYdcYT
bizcochera,5dMxUVH
biónica,5ZIXdt2
biósfera,5ZbyVP8
bla-bla-bla,5e4d7vQ
black jack,5eBHtYV
black-jack,5eEK0R7
blanca,5eEovKb
blanda,5eXRoA0
blanquilla,5fTi0cj
boardilla,5hoCEHV
bocarriba,5inKdWc
bocaza,5iw3TVM
bollera,5oIVPjx
bollo,5oMzmRS
boloñesa,5odZZam
bombetas,5pi8spl
bonitera,5rR8lVs
bonoloto,5rfgvxt
boratera,5szYMzh
borcelana,5tZOZ1S
bordelesa,5typqqf
borracha,5vHgpyd
"bosníaco, ca",5x8CDU4
botaratas,5yN4Cux
botasillas,5yVMJin
boticaria,5z9FmzH
botánica,5yDfPJa
boyera,60sKeqS
boyeriza,60sVdoj
boîte,5ltAZe0
briaga,65fV8MZ
bribrí,65yTZ0r
"briófito, ta",674guum
bronca,699Ft0l
broncoscopía,69WNMlj
bronquíolo,69qsIls
bruja,6AlL5K9
bruta,6C3ZmTE
buenaboya,6ENQo8x
buenamoza,6EOCOdZ
buenmozo,6EZ15Wp
buitrera,6G5gSYo
burra,6JqkZJr
buscabullas,6KqUz9P
buscavida,6LI5faN
buscona,6LSTZlw
bustrofedon,6Llq14i
bustrofedón,6LoJHM9
buñuelera,6ICIiCZ
bámbara,4vafaRL
básica,5AVJ81y
bávara,5Embvzn
bérberos,5MybvVp
"bímano, na",5WoCIqv
búcare,6CoH6Gb
búe,6EBVPYJ
búmeran,6I1JM3Z
caballera,6NyKCwi
caballeriza,6OE6Ftk
cabaretera,6Ox2dNI
cabañera,6OdrTuQ
cabreriza,6SXUD6M
cabrita,6T0lbAk
cabruna,6TJDItk
cachiporrera,6XQT0SH
cachonda,6YCTngC
cacica,6ZFxujS
cacoquimia,6ZfpqVS
caduca,6bDx50y
cafetera,6bc0gYY
cagaceite,6bxy7pl
caganido,6cSC5PW
cagatinta,6chWtak
cahuama,6d4BZnD
cajera,6e4QhnE
cajonera,6ecuDJF
calabacera,6exEP1E
caladora,6g6zK0F
calahuala,6gmS6bf
calcedonia,6j7pMOl
calchona,6jkCh8Q
calculadora,6kjkEVg
calduda,6lQVPFD
california,6o5pbzq
caliza,6p9TI6i
"calmuco, ca",6qQemeF
calva,6sJ19bp
camarera,6u3QplN
camaronera,6ukAnk3
caminí,6xvn5QH
"camito-semítico, ca",6yWqv9n
campechana,6zyeRsF
campera,70OdnwF
camándulas,6tk5ZuP
camélido,6wruyDA
"canario, ria",72pQI7o
canastera,72ztZtL
canceladora,73luDzY
cancina,74klTGW
candangas,75OcN9t
canela,77RkDnj
canelada,77SZsTD
cangagua,78155oN
cangrejera,78IvfcH
canillera,79DXJoP
canina,79PY1l3
cannabis,79tHxYO
cantarera,7BfEuXq
cantinera,7CpS8oL
cantonera,7DS08Dv
cantora,7DXKGly
"canáceo, a",71vKMUT
canónica,7A8wRJg
capataza,7I7F8Yi
capirotada,7Jqm3CJ
capitana,7KQuZsP
capnomancía,7L6ybzy
capotera,7LZoORt
cappa,7LeavSL
capuchina,7MZcabM
carabinero,7NqG7zz
característica,7OhMinJ
caraú,7RKKaG2
carbonera,7SFAST5
carcelera,7Ty6UQu
"cardiaco, ca",7V1WIdk
cardíaca,7UxH81g
careta,7WjA322
cargada,7WqMnWP
carpintera,7ejaEyd
carrasposa,7g61wVr
carrik,7hWN9LG
carroña,7ih6yza
carst,7jM21MO
cartelera,7jxRQ1g
cartomancía,7kujLMg
cartonera,7l6cAWn
cartuja,7lPplNw
carvalleda,7loF3Ir
carvallo,7lobLV2
casera,7oByWZN
castaña,7qCjI5N
castellana,7qbj9Ay
castora,7rS8mv2
casuística,7slWgU7
cataplún,7ubzTzr
catapún,7ugp4WT
catatonía,7vW3tWJ
catedrática,7w8aCPN
catenaria,7wYTvWj
caterética,7wvGJKY
catoptromancía,7yUfCyi
catorcena,7ybCPaD
catóptrica,7yOBG6W
cauchera,7yuz8aP
caudímano,7zjjuwo
causídica,80WEkKH
cayagual,82MCMny
cazadora,83B1RhU
caí,6dG5xw6
cañera,7G0V3qB
cañiza,7GgArbP
cañonera,7GoG5KL
cefálica,86gEGY0
"celiaco, ca",89bxoug
cellenca,89u8P93
"celtibero, ra",8AYUKeu
celíaca,89YrELw
centrifugadora,8GF4bWA
centrífuga,8G7y2lP
centríolo,8GRBnvM
centésima,8F80lTX
"centímano, na",8FRArpQ
cepacaballo,8HdicVy
cerastas,8Ial6cH
cerastes,8IeD0Z6
ceraunomancía,8IsTNCt
cerillera,8LSHLxk
ceromancía,8MVpGyn
cerradera,8MwgIXu
certificatoria,8OZmHzx
cerámica,8IHnN72
cesárea,8PSr2Rd
ceviche,8Qju8kM
"cevichero, ra",8QlokE2
cevichería,8QlbyBY
chacarera,8RBGenh
chachaguata,8RXKnhP
chamberga,8VTaYAi
chamicera,8W8okFf
chamiza,8WD7DFX
chamorra,8WGaQNq
chaparra,8ZizJOm
chapeadora,8a3JM8B
charra,8dLcCAt
chasís,8eRwE4w
chata,8euKhC4
chavola,8fzuaIp
chela,8gf9gnG
chen chen,8gxg35A
chevrón,8hql4qk
chibola,8i7edNn
chica,8iGntws
chicharrera,8iVx51p
chichera,8itWGKe
chilena,8lFwLap
chinga,8pCf5Ya
chingada,8pDAovw
chiquigüite,8qX4wwF
chiringa,8rfnk8j
chismosa,8tm4qRu
chivata,8v3lf0W
chocolatera,8x1itAO
choricera,8zCQC1d
chorras,8zvTY5P
"chorvo, va",90MMeJQ
chullpi,93FixWj
chunga,93m2c2d
chupa-chup,942ytj8
chupa-chups,9493Ue0
chupachup,942C4Mo
chupachús,94CG8GG
chupamedia,94ZiKhe
chupona,95Y6rzN
cháguar,8TP1BIU
chófer,8xKsmql
cibernética,98XWFnQ
cielorraso,9Aj1Gnb
cienmillonésima,9BALXEl
cienmilmillonésima,9BBgloQ
cienmilésima,9B4hsun
cigarrera,9C21y33
cinc,9Ery70I
"cincado, da",9Ez9dRu
cincograbado,9Fe9QPk
cincografía,9FhSEOw
cincuentena,9FqsWtt
cinegética,9G2HId2
cinemática,9GADU2b
cineraria,9GTAC27
cinquena,9H4OqJa
"cinquero, ra",9H6eJHp
cinética,9GXviJr
circum-,9Jln6k2
cistoscopía,9M8wCXn
ciática,98BHsvy
clara,9P3x2Wm
clarificadora,9POWAGn
"cleptomaniaco, ca",9Rtlk1w
clínica,9TFKY6E
cocedera,9YxmVij
cochera,9ZaZVpC
cochinera,9aCqkRX
cocoroca,9bpUDd4
coctel,9cJslxm
cocui,9cN6630
cogecha,9exU2ai
cogedera,9f4e9kF
coihue,9hRE222
coiné,9hq61n5
coja,9i5QS85
cojinoba,9iLjYYH
coligual,9mlmLYk
coligüe,9mmAOe4
colonoscopía,9qMcwSp
colposcopía,9rNqR8N
com-,9sETzSY
combinatoria,9tsBi1K
comelona,9unsJ6o
comilitón,9wAkTLH
comilona,9wGaKvc
comisaria,9wecBvN
comparativa,9z86jgB
compaña,9yfOh6b
completa,A1MLIj1
completiva,A1UWAS4
computadora,A4iJzDS
concejala,A6ajSDc
coneja,ADNk6XP
conejera,ADRsbKZ
conejuna,ADd6jnU
confesa,AERx2Xv
confitera,AG6mJoy
congrua,AJsF2l2
conjuntiva,AKrslZX
consejera,AOmj0Po
consubstanciación,AS91DPA
consubstancial,ASB41if
consubstancialidad,ASB7OkO
consubstanciarse,ASBxzXC
consulesa,ASX1cg2
contenta,AUi33om
contradictoria,AYA1uFl
contralla,AZsE5dx
contralmirantazgo,AZx3efC
contralmirante,AZy9jUd
contrargumentación,Ac9LDFj
contrargumentar,AcB6Jho
contrargumento,AcCmhh2
contrarmadura,AcJAz9e
contratacar,AdHIc0f
contrataque,AdQnRrx
contrayerba,Ae8T7qw
convocatoria,AhaYHjp
cooperativa,AieqjIo
coordenada,AimuwiA
copada,AjIaiHP
copec,Ak1C85A
copera,AkAzZx3
copetona,Akis7FI
copetuda,AkjOcDz
copiadora,AkonRlu
coralina,Ao5TZz1
corchera,ApLy77s
cordada,AqEpwIQ
corderina,AqoGEWi
"cordiaco, ca",AqxVrOr
cornuda,AukVbbY
coronaria,AvUd0GW
corralera,Awi7iOc
corredera,AxRYNDK
corregidora,Axmt7vJ
corregüela,AxsDdFb
corroncha,B0BLYCy
cortafuego,B1U1gJk
cortapapel,B1hYxB4
cortapluma,B1t9kXz
cortaviento,B1zmWYA
cortesana,B2M7oOy
corva,B3Rtr9o
corvina,B3hnZ6F
coscolina,B4OZOuV
cosmonáutica,B5WTKPc
cosmética,B5D3FTh
costanera,B6aQ7Qj
costelación,B6tzyam
costera,B70aGwG
costera,B73pcOY
coxcojita,BAw4iCU
coyota,BBDA7f5
coyotera,BBM3w63
cracoviana,BBnXQgC
craneoscopía,BCCK7a7
cratera,BCkFIU7
crematística,BE7O9C6
cremor,BEGTqdP
crespa,BF2FhdV
criada,BFonViQ
criadora,BFsaMEq
criolla,BHNm9of
crioscopía,BHYCe20
criptón,BHpNZ2j
cristalera,BIp6hBd
crióstato,BHYfCbr
cromósfera,BLGRj8C
croquet,BMGXlTL
cruda,BNOyrbC
crítica,BKCt97P
crónica,BLOvz8l
crónlech,BLfcu4k
cuadrada,BPDQ7CH
cuadragésima,BPGpyT0
"cuadrúmano, na",BQZeuoF
cuajada,BQo4RLC
cuakerismo,BREmsGq
cualesquier,BRMztn0
cualesquiera,BRN0Op6
cualquier,BRfxGm8
cuan,BRnREbE
cuarentena,BSb8dsI
cuarta,BSqfET2
cuaterna,BUAYd5V
cuatrillonésima,BUqjEUC
cubreboca,BWdnJoE
cubrecabezas,BWgncK5
cubrecamas,BWnmiPN
cubreobjeto,BWt0rcz
cucarachera,BXF2Y4Q
cuculmeca,BYujfdA
cudría,BZEDtXl
cuentística,BaOvTCa
cui,BbaPSRf
culera,BcyZpTW
culinaria,BdTUpob
cumba,BfLqLmJ
cunera,BgpjUkw
curativa,BifTKWc
"curdo, da",BjECyDb
currutaca,BkRqJJC
curva,BlnavR5
"cuákero, ra",BRGi3g7
cuán,BRpCzFC
cyclo-cross,Bo2hHnb
cándida,7673yC1
cánido,790SXci
cántiga,7CXfjMI
"cárstico, ca",7jMEqix
cártel,7jpp0Nz
cáustica,80ZZr6Q
cénit,8DX74ce
cólica,9mBgtp8
cómica,9vs3efn
cóncava,A6HPZHh
cónica,AKBBqVF
córnea,AtdOGdo
cúbica,BVyiHCm
dactiloscopía,BojwcK0
daiquirí,BpYqdu9
dalmática,Bpzc0yY
damascena,BqXMJUu
damasquina,BqkD3jk
decena,BvZ2tOH
declaratoria,BxmsNkD
dedicatoria,C0aQovt
