entry,rae_id
-comio,9wQfGW8
-eca,EJCQIVl
"-ongo, ga",R4Tn3dT
-plejia,TOyJO3A
accidentología,0KWn2dF
acid house,0TNdmL4
acid jazz,0TYTfCM
ad aeternum,0gYfKoY
"adversador, ra",0sYvIAi
aerotermia,0v0z5Fa
"aerotérmico, ca",0v13v3r
"alabardero, ra",1Q0yqpD
alavante,1U761rs
albendera,1WxWKI3
alelopatía,1hkuAa5
"alelopático, ca",1hkuAdQ
aliblanca,1q3W2Cq
alien,1qamSMo
alzar,2B1SmeX#81VENea
amensalismo,2JrEGX5
andar,2ZGgAPa#CBehDUK
anisera,2iUiTth
anjana,2ifjfo3
antibiosis,2pNSXON
antisionismo,2wKmeFe
antisionista,2wKmn7C
aquaplaning,3LrfYAl
arco,3TE56ZB#4Kix0xA
asa,3tdnEqh#0IaRCFI
asperger,43cAG7f
atencional,4Calaac
au pair,4OkV8Md
audimetría,4MwNiiN
"autolítico, ca",4TEbW1f
autopregunta,4UAWL3f
autopreguntarse,4UAb2Q1
autotelia,4VGOh7C
"autotélico, ca",4VGhe2k
autovacuna,4VMNs7M
azotehuela,4gPXpJa
balance,4qGiSHA
balconing,4sAza3N
banner,4yPiJTI
barista,55PxO3J
barra,56YKfWG#DAVsyQX
barrisco,590yHEH#DOnRwn8
bastar,5BD5w98#6ZrzgsD
"bendito, ta",5LTOCXi#AZNDK35
bestializar,5Pa1lZo
"bicentenario, ria",5SmbvWQ
bicicross,5T6S5QL
big data,5V9WYYQ
biobanco,5XsYD0Z
biocapacidad,5XwLe3r
biometano,5ZCS0Ya
bioterrorismo,5XsYD1Z
bioterrorista,5Xst36R
birlibirloque,5akNeO3
"blusero, ra",5hg34cq
bobsleigh,5i6UOxc
boca,5i6aRwS#BXl0o29
boca,5i6aRwS#BXnPDGh
bocachancla,5iEVQNf
boccia,5izLpE7
bombardinista,5pQVrTt
bossa nova,5xX36ob
boya,60dVT1I#DUxgOmn
bracket,61e7ZFT
"bravo, va",63pF2Fd#8q7Odis
"bueno, na",6EawoZ6#DVCnnHM
bulldog,6HQktTJ
buriata,6J9H1nj
"buriato, ta",6J9H7zQ
calesera,6mabLAi
callar,6pebbaT#BWbTb2Y
"camélido, da",6wruyDA
"canario, ria",72nM6Vj#8t68cVf
capoeira,7LBMDBo
"carabinero, ra",7NqG7zz
"carajo, ja",7PHLd6o#GgGRyI2
"cardiocirculatorio, ria",7VT3YfD
catacumbal,7tKKC3X
"catacúmbico, ca",7tLe3RW
cepa,8HccZ0a#4TylaJA
chaco,8S61OZJ
"chocho, cha",8wW365h#FOiVpsG
"chorro, rra",90EsPY5
"chucho, cha",91vbETk#1NqOPBs
chulpi,93FixWj
chunda,93ltYPC
chundachunda,93luZq5
ciclocross,99nrhmC
cielo,9AhzvUU#83dDSaY
cincuecentista,9FidoVW
cinésica,9GVDb2X
coca,9YFZRAQ
coca cola,9YJD7MT
cocacola,9YJCDEH
color,9qYXXhD#BWGUv0n
comensalismo,9v7Kg3u
"concentracionario, ria",A6xWITX
conmiserar,ALsWTTc
contraprogramar,AbmL5tP
contrarreformista,AcNbYL3
cookie,AiZSBUT
cortometrajista,B3AIhI0
criptonita,BHq5eBN
crowdfunding,BMfhT4A
crudismo,BNXVqIe
crudista,BNXVt3A
crudivorismo,BNXXC3M
"crudívoro, ra",BNXXFb4
cuadríptico,BQKy8Vk
cuartel,BT1Y4My#5wKWUVG
cuperosis,BhPtnOM
curling,Bjywevd
"cánido, da",790SXci
dana,Br4oU3i
decalaje,BuwDKVa
demersal,C9BQBau
derechona,CGwPa1M
derredor,CIY0TGI#1QzuHsq
"desarrollador, ra",CTvSOVO
descarbonizar,CcNn0RE
desendeudamiento,CsoXa2f
desendeudar,CsoZkOm
desmoralizante,DCaRJcm
"desratizador, ra",DRRupcb
desratizante,DRRus2F
"deóntico, ca",CESGXPf
"disruptor, ra",Dy0uV5V
"don, doña",E7fKGDe#6scMH3K
"don, doña",E7fKGDe#H4oPFsr
doula,EAolX6F
dramaturgista,EBudYco
drive,ECbNThM
driver,ECbYVgO
drugstore,ED7si3M
eco,EKgVkOj
ecofeminismo,EKqgK9R
ecofeminista,EKr4d8W
enchufable,F5jM0Yx
endeudar,FCm0mlz
engelamiento,FMwRq3W
engelante,FMzR2Xp
engrama,FOXTLRU
enter,Fh9buV1
escalabilidad,G67uqMS
escalafonar,G6PECSL
escriturista,GKfBRQP
"escriturístico, ca",GKfm4qX
esnórquel,GSAB3cb
espetaperro,GZzvtmb#DZdE5kU
espóiler,GdV9FIC
esquiable,Ggjv8a2
"este, ta",GoDU5PI#GaaYNPX
"este, ta",GoDU5PI#GbSd76u
estetoscopía,GrWbbIw
estilometría,GsNfY6Y
"estudiantón, na",H1tvS8N
etilómetro,H41kyNF
etnonimia,H57UXXa
etnónimo,H57abiU
eurofobia,H6wSpI2
"eurofóbico, ca",H6wYs92
"eurófobo, ba",H6wf41O
evangelismo,H8fG4eO
excepcionalismo,HBpD3LE
exodoncia,HGXrEQ1
falerística,HXFVR3U
farlopa,HdG3WW1
feng shui,HkYE0va
fibromuscular,HqbA3YT
ficcionalizar,HqpO7qZ
ficcionar,Hqr6r0S
finn,HyL3VDW
fitness,I12C5sB
fixing,I1essDV
"fodongo, ga",IBqK1SP
fondo,IBiSV3w#GwngQoW
fotofinish,IJnbOTE
fotonoticia,IKp2NQf
fototrampeo,ILXta35
frappé,IPWgQ3I
frapé,IPWfTML
"frío, a",IUteOxn#EOrUZiT
fuera,IYaHR3Q#6XZb07k
full contact,IaBF1Ll
fumet,Ib7e8Cf
fumé,Ib7d0Ch
funk,IciXNkX
funky,IciYRgX
"gallo, llina",ImORZs4#DD2niCX
georradar,J8KAiEr
gif,JBCLaXb
glam,JEMKUdW
glam rock,JEPTSY3
"glucídico, ca",JGEWHeV
"gocho, cha",JHgMFKN
granularidad,JTqOUR5
gravitón,JVtaar4
grisín,JYNE6hV
grooming,JZENTLp
groupie,JZqbfJw
guardar,JjJWqPL#9JvqTdb
guardia,JjpuE9J#9JzaAbi
haka,JyOR1tF
hardcore,K1MmE3D
hashtag,K2hJWM5
hausa,K3E7VOc
"hecho, cha",K4rxA9a#DbpemKv
herpetofauna,KEYwg5W
hoja,KYSU0CJ#Dc0q2u1
hora,KdzJ1hu#GF5XEku
hormonación,KfGdlDD
hormonar,KfHSKe6
"humanizador, ra",KnaSZnX
humor,KpO2OpY#68VDgEt
háptica,K0nEjg4
impaginación,L1ZwoKU
impaginar,L1axo3O
implantología,L4SM7XV
in crescendo,LKFro0a
incumbente,LKyc4Jj
indianismo,LNgd4RT
indie,LODRcLW
indo-,LQPhoCJ
infecciosidad,LVEK4Ru
infusionar,LZtxg8V
intermezzo,LvNa5GG
intersectorial,Lx3CA5G
"intraurbano, na",LzVIjqB
jacobita,MHx1UVD
jarreo,MNVMR9e
jehová,MPApJ5h
jorro,MXT39Ri#2GTnCfF
"lacero, ra",MksZMCI
"lagarto, ta",MnrWCnQ#9bLzTpX
lambada,MoxmGFB
"largo, ga",MwNMwao#78Z9qhD
laudatio,Mzd9anS
"lazarillo, lla",N1wSC7E
lazurita,N26VJQ7
"lañador, ra",MumymNc
liberalista,NENrY6q
limes,NKLS8dh
lobista,NXSIh3B
login,NZEXfRD
loguearse,NZwRpLO
looping,NbrvwtY
lunchaco,NiLdg1R
macguffin,NmJVr7Q
"machirulo, la",NnMD1Bc
machota,NnlROKX
macroencuesta,NooOd3e
macrojuicio,NosWWQ1
mailing,Nw8qV1M
"malo, la",O3b9Md7#ETYtAlm
manacorense,O7Lfuul
manacorí,O7Lowsl
mangazo,OC5RIeb
mantícora,OHd52B7
mar,OLDn0QL#7ofMhOX
marcianada,ONTZ1Ha
matrioska,OdUXfbW
matriuska,OdWm3md
medinense,OlOkd3o
"medio, dia",OlQ6yC8#BgNGPon
mena,Os6nUQY
mesta,P3bUTPv
micela,PAnll3f
micelar,PAnlqDK
microbioma,PBWssOX
microfonista,PCEd6fr
microteatro,PCsEcSS
milana,PEjXr1Q
milenial,PEp3yIG
millennial,PG8iRYi
mirar,PMSRG3d#AYWQKmO
"mnémico, ca",PRb3Ja6
"mnésico, ca",PRiRZgV
mohair,PWGIJXg
"morro, rra",PrY6QFr
motonieve,PwZYlgA
"mozo, za",PyIxduT#51vdLgh
musealización,Q8jZ1UY
musealizar,Q8jeMLU
musivaria,Q9V4YWP
nada,QCFVQse#GEVrdRm
"narcoléptico, ca",QFWnbq1
"neoconservador, ra",QOIgq8T
neoconservadurismo,QOIhrDF
neolengua,QOjPo1f
nunchaco,QjCVs3b
"ojáncano, na",QxRzvwP
okey,QyQ3JjY
oscarizar,RHFf3VY
"otro, tra",RLQQxGn#CdQMQhT
outlet,RLVkTNg
outsider,RLWXWVb
ovnilogía,RMWYJEF
"ovulatorio, ria",RMomV1D
pacman,RPxV5dV
pagadiós,RRMR2d5
pajita,RU6cn3f
"paladín, na",RVJuXin
pan,RcmAvfa#7PBuWnK
parabolano,Rp9EhfX
"pareado, da",RuVOEGe
parkour,Rwn7QCR
parrillar,Ryr6GHN
"pavo, va",SDoSGQ5#8GwP7kL
paz,SEelFDw#8O5tZ9L
peine,SLphtK1#7TZHQIF
pellet,SOxKWA3
perdón,SYbMpnJ#GgfhFUv
perreo,SiIda3T
pictorialismo,SwNqgbL
pictorialista,SwNrebK
piercing,SxCBfVB
"pijudo, da",Sz2kv2J#DfvTQpA
pixelación,TGstfSa
pixelado,TGstl3q
pixelar,TGstnR9
pixilación,TGtnh5Z
"pluscuamperfecto, ta",TRtPybe
poligénesis,TXTCkdO
poscolonial,TmX1eN3
poscolonialismo,TmYCdQ0
poscolonialista,TmYLdS2
posnet,ToCmTAS
posturear,TqmA5Z9
poule,TseUfJX
precandidatura,TuebK57
pregusto,TzpCDDJ
preproducción,U4Feq3c
presoterapia,U6pqXTs
previsional,U9mRkDV
priorización,UCfmahd
prémium,U1giyVT
"quedo, da",Ulr1dok#9xIxdY0
queer,UlrNW9Y
"quillo, lla",Ur6iNfg
radio-,V1MZHxO
ramésida,V6N0l1U
rapear,V94N1pW
recapitalización,VNnRZ05
recapitalizar,VNoNPQR
reembolso,VaxSucm#GqvLm3L
regañá,VhHpXP4
reintroducir,Vn4eFhw
resignificación,WA5OYbp
resignificar,WA5Oa6v
"resucitado, da",WEynOgw
retrogusto,WKx7gms
risoterapia,WWAT8kN
rodenticida,WbFPak3
ruedín,WnmW6Ql
salafismo,X16non1
salafista,X17msn1
script,XNTD1Sf
seiscentista,XU3CDME
seléucida,XUhCKOK
semana,XV9JZTZ#7bY5KP2
semiesquina,XX6FsUe
senderista,XZPg5mQ
sentimentalizar,XbRbSFh
serraje,XgmZwTC
setecentista,XjezcPX
"setenario, ria",Xjkyo5o
sexting,XlgUNTP
"señor, ra",XcBNzxH#GgMfaWu
simpa,XvMKSij
sinhogarismo,Xyie6Qt
sirla,Y1JHAnQ
sirlar,Y1JKe35
"sirlero, ra",Y1JNJeO
smartphone,Y339avj
snorkel,Y35sTmk
sobrepastoreo,Y8nN5Fp
sociograma,YCJW1q0
sociolaboral,YCJX5mm
sonrojante,YMy6JDX
streaming,YUEInPK
subespecialidad,YWcRaZz
subtexto,YaqYQYF
sujetalibros,Yg4WSq5
sulky,YgfW6Xa
superalimento,Yiszdba
"supervillano, na",YlCTgaO
supuestamente,YmcTtG8
sérum,XhLlcW3
"síncrono, na",XxMFXEZ
sófbol,YDcilTQ
sóftbol,YEoor5H
tabulé,Yu0ocS3
tangrama,Z5BV1xU
tao,Z6LzX1o
tecnociencia,ZIsoiG4
"tecnocientífico, ca",ZIsphFD
telemarketing,ZMuUmTm
teleportación,ZNHe3YT
teleportar,ZNHg6h4
teletrabajar,ZNoW1VE
teletransportación,ZNp8cDc
"teletransportador, ra",ZNpAK4e
teletransportar,ZNpFx9Q
teletransporte,ZNpV0dR
"termoquímico, ca",ZZtZJec
tetería,Zg8IGr2
tetris,ZgyWpM6
texturización,ZhasDiP
texturizado,ZhawQ17
tocar,Zw9dWu5#GkIrVD0
tomar,ZzcN8W0#BcnGaQ4
topografiar,a36PQtK
torneada,a65xOWb
trampeo,aGvWPOh
"tranviero, ra",aNQOcUd
trecentista,aYTIUsU
"tricentenario, ria",acdzLWl
trivia,ajbc3PM
"truficultor, ra",apq7ECN
truficultura,apqFe2X
turismofobia,axaX3tC
"turismofóbico, ca",axaYf21
"tuso, sa",az1kudx#GV0of5W
"tuso, sa",az1kudx#GV4wRMC
tutifruti,azabZ4G
tutti frutti,azl32x4
tángram,Z5BTr8X
ultraactividad,b2RcY1L
ultraterrestre,b3E1gUO
umami,b3XFY7l
universalismo,b6PQRCr
universalista,b6Q3E4x
valer,bIEq7WY#BcaKjY7
vaporera,bLf7UtB
var,bMGM6sK
varietal,bNxNNQa
vez,biPx6YF#AO4e3SY
videoarbitraje,bmCH0yp
vivir,byZS22V#AR5WuWB
"vivo, va",byqVY7h#ARLYgdC
wasabi,c65TlIm
yerba,cAkoSeM#Du4JdP2
yuyu,cEjtmDM
zapoteca,cNU1wUm
"zapoteco, ca",cNVQwOj
zotehuela,cVwm0dr
"él, ella",ESsilCu#GZdN73M
‒́pata,S72hyJ5
