rae_id,csv_header,db_header
0sYvIAi,adversador,"adversador, ra"
1Q0yqpD,alabardero,"alabardero, ra"
5Pa1lZo,bestializarse,bestializar
5SmbvWQ,bicentenario,"bicentenario, ria"
6wruyDA,camélido,"camélido, da"
790SXci,cánido,"cánido, da"
7NqG7zz,carabinero,"carabinero, ra"
93FixWj,chullpi,chulpi
FCm0mlz,endeudarse,endeudar
H1tvS8N,estudiantón,"estudiantón, na"
IBqK1SP,"fondongo, ga","fodongo, ga"
MksZMCI,lacero,"lacero, ra"
MumymNc,lañador,"lañador, ra"
N1wSC7E,lazarillo,"lazarillo, lla"
PEjXr1Q,milara,milana
RVJuXin,paladín,"paladín, na"
RuVOEGe,pareado,"pareado, da"
TRtPybe,pluscuamperfecto,"pluscuamperfecto, ta"
WEynOgw,resucitado,"resucitado, da"
Xjkyo5o,setenario,"setenario, ria"
aNQOcUd,tranviero,"tranviero, ra"
acdzLWl,tricentenario,"tricentenario, ria"
