old_rae_id,old_entry,status,current_rae_ids,current_headers,matching_current_ids,matching_current_headers,error
07m5NpX,abollar,ID_CHANGED,07kY3Ob,abollar,07kY3Ob,abollar,
5oMzmRS,bollo,ID_CHANGED,5oMdG20 | 5oH3B3v | 5oHAs6a,bollo | bollar<sup>1</sup> | bollar<sup>2</sup>,5oMdG20,bollo,
IbE7iIB,fumista,ID_CHANGED,IbDlgbQ,fumista,IbDlgbQ,fumista,
MSpG6ua,jijona,ID_CHANGED,MSjXFTH,jijona,MSjXFTH,jijona,
a68eXQV,tornear,ID_CHANGED,a68eJfS,tornear,a68eJfS,tornear,
NnnfGOn,machota,MULTIPLE_CURRENT_IDS,NnlROKX | Nnn9hE5,machota<sup>1</sup> | machota<sup>2</sup>,NnlROKX | Nnn9hE5,machota<sup>1</sup> | machota<sup>2</sup>,
a32aoaR,topo,MULTIPLE_CURRENT_IDS,a2yiKd1 | a2zqBjz | a31t0Fl | a28R4ZP | a28QrnX,"topo<sup>1</sup>, pa | topo<sup>2</sup> | topo<sup>3</sup> | topar<sup>2</sup> | topar<sup>1</sup>",a2zqBjz | a31t0Fl,topo<sup>2</sup> | topo<sup>3</sup>,
0SQc5ML,"-achuelo, la",NOT_FOUND,,,,,
0jP2F4J,"-adero, ra",NOT_FOUND,,,,,
0oWyp5O,"-ador, ra",NOT_FOUND,,,,,
3O3jFBC,"-aracho, cha",NOT_FOUND,,,,,
3eTuBLy,"-arraco, ca",NOT_FOUND,,,,,
4G4oVYf,"-ativo, va",NOT_FOUND,,,,,
4INg5C0,"-atorio, ria",NOT_FOUND,,,,,
5W1OgFg,"-bilísimo, ma",NOT_FOUND,,,,,
9DOeZ6d,"-cillo, lla",NOT_FOUND,,,,,
EJSx8hb,"-ececico, ca",NOT_FOUND,,,,,
EJTKIJ8,"-ececillo, lla",NOT_FOUND,,,,,
EJUJr7w,"-ececito, ta",NOT_FOUND,,,,,
EJXirtP,"-ecezuelo, la",NOT_FOUND,,,,,
EK89MlR,"-ecico, ca",NOT_FOUND,,,,,
EKB9w4I,"-ecillo, lla",NOT_FOUND,,,,,
EKC7WWx,"-ecito, ta",NOT_FOUND,,,,,
ENQ9cwG,"-edero, ra",NOT_FOUND,,,,,
ENvG7Ws,"-edor, ra",NOT_FOUND,,,,,
EQoE7aL,"-ego, ga",NOT_FOUND,,,,,
GQkD91K,"-esino, na",NOT_FOUND,,,,,
HR22WKq,"-ezuelo, la",NOT_FOUND,,,,,
KlAQG5L,"-huelo, la",NOT_FOUND,,,,,
KrWQlR5,"-iano, na",NOT_FOUND,,,,,
Ks8Pn8e,"-ichuelo, la",NOT_FOUND,,,,,
KuHA7rF,"-idero, ra",NOT_FOUND,,,,,
KvB1ZIY,"-idor, ra",NOT_FOUND,,,,,
KvPM0mO,"-iento, ta",NOT_FOUND,,,,,
MAR83U2,"-isco, ca",NOT_FOUND,,,,,
MEVTZG4,"-itivo, va",NOT_FOUND,,,,,
MEeJQTG,"-itorio, ria",NOT_FOUND,,,,,
MFILa1i,"-izco, ca",NOT_FOUND,,,,,
RFiXRLQ,"-orrio, rria",NOT_FOUND,,,,,
RFkmHVm,"-orro, rra",NOT_FOUND,,,,,
Z5V5Ss6,"-tano, na",NOT_FOUND,,,,,
bBCLrg8,"-usco, ca",NOT_FOUND,,,,,
bDvxJQj,"-uzco, ca",NOT_FOUND,,,,,
cWPN9rE,"-zuelo, la",NOT_FOUND,,,,,
0y37r2G,"afilo, la",NOT_FOUND,,,,,
11Q4jXn,"afrodisiaco, ca",NOT_FOUND,,,,,
1Tjubkw,"alasqueño, ña",NOT_FOUND,,,,,
1iLSSUF,"alergeno, na",NOT_FOUND,,,,,
2V03tsc,"anafrodisiaco, ca",NOT_FOUND,,,,,
2ok6Mf7,"antiafrodisiaco, ca",NOT_FOUND,,,,,
2wIDr4h,"antisicótico, ca",NOT_FOUND,,,,,
3MH5fe6,"aquellos, llas",NOT_FOUND,,,,,
3MHDPUA,"aquelos, las",NOT_FOUND,,,,,
3Mb2ozD,"aquesos, sas",NOT_FOUND,,,,,
3MeP0Xe,"aquestos, tas",NOT_FOUND,,,,,
3NeA474,"arábigo-andaluz, za",NOT_FOUND,,,,,
4AfKXgg,"atarbán, na",NOT_FOUND,,,,,
