rae_id,csv_entry,returned_ids,returned_headers
00gSU3j,abadesa,00TuMgr,"abad, desa"
037e7SP,abarrisco,590yHEH | 590yHEH#DOnRwn8,barrisco | barrisco
03oHciI,abatí,4X6XN6d | 03pLvZ5,avatí | abatir
03tCzV4,abc,045miOw,abecé
04N7aoS,abejera,04NPHBm,"abejero, ra"
05MCrQK,abierta,05NHYpw | 0BIq0lQ,"abierto, ta | abrir"
06VsTFX,-able,5gagNwr,-ble
07m5NpX,abollar,07kY3Ob,abollar
08IftT5,abonadora,08IZq5z,"abonador, ra"
0B3d5sT,abrigada,0B5Nz9K | 0B7O2Zd,"abrigado, da | abrigar"
0CQg6do,absoluta,0CY07hD,"absoluto, ta"
0KDGVKG,accesoria,0KIzcoq,"accesorio, ria"
0LG0QAi,acedia,0LK0RuN,acedía<sup>1</sup>
0LU9i6U,acefalía,0LS4sqI,acefalia
0Luaqmv,aceitera,0LvlrFG,"aceitero, ra"
0M0ZnQA,aceitunera,0M2c1cN,"aceitunero, ra"
0PIrrVu,-acha,0RmNxEl,"-acho, cha"
0RPCYK9,achiotera,0RRGBU5,"achiotero, ra"
0SBXoGb,-achón,R3Ff5cR,"-ón<sup>1</sup>, na"
0UA3ZBx,-ación,9I27Gyi,-ción
0V5qh1z,"‒́aco, ca",0Rw7hSd | 0VOxdWV | 0VY7bwi | 0WZLeho | 0WaXC7n | 0Xva2Lc | 0XxG6Qi | 0Z8fRSs | 4fbCvyj | 4fdtSln,"achocar | acocarse | acocharse | acolchar<sup>1</sup> | acolchar<sup>2</sup> | aconchar | aconcharse | acorcharse | azoico<sup>1</sup>, ca | azoico<sup>2</sup>, ca"
0Z993Qe,acordada,0ZFi1ZV | 0ZKiQZ3,"acordado, da | acordar"
0cGWrDR,acrótera,0cGDTuq,acrotera
0ccrWQf,activa,0clfXYb | 0cgpL3L,"activo, va | activar"
0ctDr83,actriz,0coHE08,"actor<sup>1</sup>, triz"
0gI2pQr,acuseta,0gNBdIu,acusetas
0gTAXCX,acústica,0gTxC5k,"acústico, ca"
0iFhffk,adefesios,0iHaWn2 | 0iCaBVU,ad efesios | adefesio
0io2ep7,ademprío,0imsuMY,ademprio
0ioeUDY,aden-,0ivsszt,adeno-
0lVnVLV,adjetiva,0ldVsDG | 0lcgW1F,"adjetivo, va | adjetivar"
0n4XdpP,adnata,0n4ZPAN,"adnato, ta"
0ryHaU5,-adura,EHGi0dJ,-dura
0tBG92s,aerobic,0tD61et,aeróbic
0tYmFQG,aerodinámica,0tZAhTX,"aerodinámico, ca"
0uCosyn,aeromancía,0u8fGpx,aeromancia
