rae_id,csv_entry,returned_ids,returned_headers
0m3VSvG,ad libitum,0m3VSvG,<i>ad libitum</i>
0m7crM7,ad limina,0m7crM7,<i>ad limina</i>
0m8gjWK,ad litteram,0m8gjWK,<i>ad litteram</i>
0n7ESlF,ad nauseam,0n7ESlF,<i>ad nauseam</i>
0nEwxpa,ad nutum,0nEwxpa,<i>ad nutum</i>
0pIkOuK,ad pedem litterae,0pIkOuK,<i>ad pedem litterae</i>
0pK95xy,ad perpetuam,0pK95xy,<i>ad perpetuam</i>
0pL4UU7,ad personam,0pL4UU7,<i>ad personam</i>
0pLV5dW,ad quem,0pLV5dW,<i>ad quem</i>
0pvnJ9h,ad referendum,0pvnJ9h,<i>ad referendum</i>
0qV5tGo,ad tempus,0qV5tGo,<i>ad tempus</i>
0sGeln3,ad valorem,0sGeln3,<i>ad valorem</i>
2RUsypi,ampère,2RUsypi,<i>ampère</i>
2dADLyH,Ángela,2dADLyH,Ángela
3HFytIB,a posteriori,3HFytIB,<i>a posteriori</i>
3JdXcMt,a priori,3JdXcMt,<i>a priori</i>
3NK26ap,a quo,3NK26ap,<i>a quo</i>
3OGLpcR,a radice,3OGLpcR,<i>a radice</i>
3xNuNuB,a sensu contrario,3xNuNuB,<i>a sensu contrario</i>
40P0NEL,a simili,40P0NEL,<i>a simili</i>
5ltAZe0,boîte,5ltAZe0,<i>boîte</i>
KxPqpET,‒́il,KxPqpET,‒́il
LcgKi5C,in illo tempore,LcgKi5C,<i>in illo tempore</i>
LcoPm3X,in integrum,LcoPm3X,<i>in integrum</i>
Lcxkw1S,in itinere,Lcxkw1S,<i>in itinere</i>
Le5AFqG,in medias res,Le5AFqG,<i>in medias res</i>
LeN78IB,in memoriam,LeN78IB,<i>in memoriam</i>
LeUeikl,in mente,LeUeikl,<i>in mente</i>
LiNk5DU,in partibus,LiNk5DU,<i>in partibus</i>
LiNkM3K,in partibus infidelium,LiNkM3K,<i>in partibus infidelium</i>
LiQuOqq,in pectore,LiQuOqq,<i>in pectore</i>
LiSD5dk,in perpetuum,LiSD5dk,<i>in perpetuum</i>
LiUNB1A,in promptu,LiUNB1A,<i>in promptu</i>
LiWqF0U,in púribus,LiWqF0U,in púribus
LlJeGAq,in situ,LlJeGAq,<i>in situ</i>
LlkrAN7,in solidum,LlkrAN7,<i>in solidum</i>
LmnWpQn,in statu quo,LmnWpQn,<i>in statu quo</i>
LvQSuA9,in terminis,LvQSuA9,<i>in terminis</i>
M1Vgfq4,in utroque,M1Vgfq4,<i>in utroque</i>
M1Z3Y8h,in utroque iure,M1Z3Y8h,<i>in utroque iure</i>
M1mvimL,in utroque jure,M1mvimL,<i>in utroque jure</i>
M4cX8vQ,in vitro,M4cX8vQ,<i>in vitro</i>
M4dN6uq,in vivo,M4dN6uq,<i>in vivo</i>
M4i4erf,in voce,M4i4erf,<i>in voce</i>
Nwf1tnn,maître,Nwf1tnn,<i>maître</i>
