old_rae_id,old_entry,status,current_rae_ids,current_headers,matching_current_ids,matching_current_headers,error
3WoUD5H,argentada,RELATED_RESULT,3Wp8xnz | 3Wv1EXe,"argentado, da | argentar",,,
Dj3Y32H,diezmillonésima,RELATED_RESULT,Dj8hCUI,"diezmillonésimo, ma",,,
5Pvk1Ay,besuguera,RELATED_RESULT,5PvmTq3,"besuguero, ra",,,
0zv8IHo,aforística,RELATED_RESULT,0zw64az,"aforístico, ca",,,
CympOxM,desfibradora,RELATED_RESULT,CykO1pk,"desfibrador, ra",,,
BRN0Op6,cualesquiera,RELATED_RESULT,BRgGL9X,cualquiera,,,
5inKdWc,bocarriba,RELATED_RESULT,5i6aRwS | 5i6aRwS#BXnPDGh,boca | boca,,,
10vYB65,africana,RELATED_RESULT,11CPySQ,"africano, na",,,
6g6zK0F,caladora,RELATED_RESULT,6g6gB8L,"calador, ra",,,
BcyZpTW,culera,RELATED_RESULT,Bcyaqa1,"culero, ra",,,
BUAYd5V,cuaterna,RELATED_RESULT,BUFKOWN,"cuaterno, na",,,
6EOCOdZ,buenamoza,RELATED_RESULT,PyIxduT,"mozo<sup>2</sup>, za",,,
4Lz9hWl,atunera,RELATED_RESULT,4LzMp0r,"atunero, ra",,,
416Tos5,asistenta,RELATED_RESULT,416WFrl,"asistente, ta",,,
B6tzyam,costelación,RELATED_RESULT,ARGXWtp,constelación,,,
AxRYNDK,corredera,RELATED_RESULT,AxTNxlr,"corredero, ra",,,
7RKKaG2,caraú,RELATED_RESULT,7RHIZD1,caráu,,,
BRnREbE,cuan,RELATED_RESULT,BSKWl78,"cuanto<sup>2</sup>, ta",,,
BojwcK0,dactiloscopía,RELATED_RESULT,BohoN9V,dactiloscopia,,,
5N5cx1g,beréber,RELATED_RESULT,5N5D7sT,bereber,,,
6ICIiCZ,buñuelera,RELATED_RESULT,6IDKIsn,"buñuelero, ra",,,
387ROkb,apena,RELATED_RESULT,38BNs6H | 38A2Ydc,apenas | apenar,,,
DxwDzr3,disquera,RELATED_RESULT,DxxYb5C,"disquero, ra",,,
8QlbyBY,cevichería,RELATED_RESULT,84lHnPx,cebichería,,,
6JqkZJr,burra,RELATED_RESULT,6K7oz2e,"burro, rra",,,
6lQVPFD,calduda,RELATED_RESULT,6lQXbDK,"caldudo, da",,,
4tffRcZ,balística,RELATED_RESULT,4thgA3O,"balístico, ca",,,
9aCqkRX,cochinera,RELATED_RESULT,9aEYTJJ,"cochinero, ra",,,
65fV8MZ,briaga,RELATED_RESULT,65ik8iL,"briago, ga",,,
BRfxGm8,cualquier,RELATED_RESULT,BRgGL9X,cualquiera,,,
5Fv1PVY,bearnesa,RELATED_RESULT,5FsaCdB,"bearnés, sa",,,
B1U1gJk,cortafuego,RELATED_RESULT,B1UQ2AJ,cortafuegos,,,
6j7pMOl,calcedonia,RELATED_RESULT,6jARdiv,"calcedonio, nia",,,
0ctDr83,actriz,RELATED_RESULT,0coHE08,"actor<sup>1</sup>, triz",,,
6G5gSYo,buitrera,RELATED_RESULT,6G6g5Ay,"buitrero, ra",,,
BpYqdu9,daiquirí,RELATED_RESULT,BpXB5Kx,daiquiri,,,
6TJDItk,cabruna,RELATED_RESULT,6TJdlWt,"cabruno, na",,,
7ih6yza,carroña,RELATED_RESULT,7ioZmg3 | 7ihgqK1,"carroño, ña | carroñar",,,
1aiycot,alcahueta,RELATED_RESULT,1anBlmj,"alcahuete, ta",,,
7qbj9Ay,castellana,RELATED_RESULT,7qluXx1,"castellano, na",,,
1Pe7pgO,alá,RELATED_RESULT,JyPVwLw,hala,,,
9exU2ai,cogecha,RELATED_RESULT,9f2Dfid,"cogecho, cha",,,
6EBVPYJ,búe,RELATED_RESULT,6EAJ5UA,bue,,,
7A8wRJg,canónica,RELATED_RESULT,7ADZ8tX,"canónico, ca",,,
A6ajSDc,concejala,RELATED_RESULT,A6ZJrU7,"concejal, la",,,
7673yC1,cándida,RELATED_RESULT,76UgiU7,"cándido, da",,,
3UxKkhT,arenisca,RELATED_RESULT,3UxN1QC,"arenisco, ca",,,
1B3LjjP,agroquímica,RELATED_RESULT,1B3iGw3,"agroquímico, ca",,,
0xoMXgS,afiladora,RELATED_RESULT,0xnuGsd,"afilador, ra",,,
AvUd0GW,coronaria,RELATED_RESULT,AvXq6BX,"coronario, ria",,,
C3GzJnv,deflectora,RELATED_RESULT,C3GYF2m,"deflector, ra",,,
9GXviJr,cinética,RELATED_RESULT,9GYNxuf,"cinético, ca",,,
0ycFGaM,afirmativa,RELATED_RESULT,0yddLan,"afirmativo, va",,,
4tygqH8,ballenera,RELATED_RESULT,4tzqkGu,"ballenero, ra",,,
Ak1C85A,copec,RELATED_RESULT,MiA2gMl,kopek,,,
8qX4wwF,chiquigüite,RELATED_RESULT,8qXx0Ht,chiquihuite,,,
5H3vsS2,be-bop,RELATED_RESULT,5H3Zt32,<i>bebop</i>,,,
0uqgbVo,aerostática,RELATED_RESULT,0uucvc7,"aerostático, ca",,,
7MZcabM,capuchina,RELATED_RESULT,7MZxrWC,"capuchino, na",,,
AcB6Jho,contrargumentar,RELATED_RESULT,AWP2jAR,contraargumentar,,,
7GgArbP,cañiza,RELATED_RESULT,7GhGij5,"cañizo, za",,,
7G0V3qB,cañera,RELATED_RESULT,7G8q4Ch,"cañero<sup>2</sup>, ra",,,
9f4e9kF,cogedera,RELATED_RESULT,9f6nKJH,"cogedero, ra",,,
7CXfjMI,cántiga,RELATED_RESULT,7CWEXBW,cantiga,,,
B0BLYCy,corroncha,RELATED_RESULT,B0D49Sg,"corroncho, cha",,,
6bDx50y,caduca,RELATED_RESULT,6bLxpQM | 6bFWOCG,"caduco, ca | caducar",,,
17NNAA1,agracera,RELATED_RESULT,17OAw4D,"agracero, ra",,,
6tk5ZuP,camándulas,RELATED_RESULT,6thxXNe,camándula,,,
Dij9xaZ,dietética,RELATED_RESULT,DilIMgo,"dietético, ca",,,
6p9TI6i,caliza,RELATED_RESULT,6pArVhO,"calizo, za",,,
AhaYHjp,convocatoria,RELATED_RESULT,AhcOXeC,"convocatorio, ria",,,
DisVruc,diezma,RELATED_RESULT,DjBKim5 | DitQLZk,"diezmo, ma | diezmar",,,
6I1JM3Z,búmeran,RELATED_RESULT,6I1lgBT,bumerán,,,
16BkUFm,agógica,RELATED_RESULT,16JQ2l7,"agógico, ca",,,
8v3lf0W,chivata,RELATED_RESULT,8vCCfrp,"chivato, ta",,,
411V9qv,-asis,RELATED_RESULT,Y1ULCxP,-sis,,,
2iq6Gbx,annamita,RELATED_RESULT,2Vz8Ndr,anamita,,,
2VoKg5m,analítica,RELATED_RESULT,2VoZJgn,"analítico, ca",,,
AimuwiA,coordenada,RELATED_RESULT,AinMQRZ,"coordenado, da",,,
44WBVCI,asquenazí,RELATED_RESULT,41GB6JM,askenazí,,,
6o5pbzq,california,RELATED_RESULT,6oCO7Gs,"californio<sup>1</sup>, nia",,,
2gIELlE,anhidrido,RELATED_RESULT,2gIFJDx,anhídrido,,,
7L6ybzy,capnomancía,RELATED_RESULT,7L6ovBf,capnomancia,,,
2U8l9cP,anacardina,RELATED_RESULT,2U8zTpo,"anacardino, na",,,
EEq4f2o,dueña,RELATED_RESULT,EEsL9LT,"dueño, ña",,,
78155oN,cangagua,RELATED_RESULT,785OcAo,cangahua,,,
2eKnwDU,anglística,RELATED_RESULT,2eMCzHm,"anglístico, ca",,,
2TRlsTw,an-,RELATED_RESULT,006hGa6,a-<sup>2</sup>,,,
6bc0gYY,cafetera,RELATED_RESULT,6bdGFJA,"cafetero, ra",,,
5GXPgZO,bebedera,RELATED_RESULT,5GY3AtL,"bebedero, ra",,,
AcCmhh2,contrargumento,RELATED_RESULT,AWPTLPw | AWP2jAR,contraargumento | contraargumentar,,,
75OcN9t,candangas,RELATED_RESULT,75LK5Zv,candanga,,,
5YBnKmy,biodinámica,RELATED_RESULT,5YC0mSN,"biodinámico, ca",,,
942ytj8,chupa-chup,RELATED_RESULT,94925Lg,chupachups,,,
5LFAj0t,bencinera,RELATED_RESULT,5LJtHsR,"bencinero, ra",,,
6CoH6Gb,búcare,RELATED_RESULT,6Cn3RXS,bucare,,,
BVyiHCm,cúbica,RELATED_RESULT,BW3fPiX,"cúbico, ca",,,
6sJ19bp,calva,RELATED_RESULT,6sZxbij | 6sKPVyZ,"calvo, va | calvar",,,
1Om3Ezw,ajorro,RELATED_RESULT,MXT39Ri | 1Oi0QI8 | MXT39Ri#2GTnCfF,jorro | ajorrar | jorro,,,
