old_rae_id,old_entry,status,current_rae_ids,current_headers,matching_current_ids,matching_current_headers,error
5ltAZe0,boîte,SAME_ID,5ltAZe0,<i>boîte</i>,5ltAZe0,<i>boîte</i>,
0pIkOuK,ad pedem litterae,SAME_ID,0pIkOuK,<i>ad pedem litterae</i>,0pIkOuK,<i>ad pedem litterae</i>,
40P0NEL,a simili,SAME_ID,40P0NEL,<i>a simili</i>,40P0NEL,<i>a simili</i>,
3HFytIB,a posteriori,SAME_ID,3HFytIB,<i>a posteriori</i>,3HFytIB,<i>a posteriori</i>,
0pL4UU7,ad personam,SAME_ID,0pL4UU7,<i>ad personam</i>,0pL4UU7,<i>ad personam</i>,
3xNuNuB,a sensu contrario,SAME_ID,3xNuNuB,<i>a sensu contrario</i>,3xNuNuB,<i>a sensu contrario</i>,
2dADLyH,Ángela,SAME_ID,2dADLyH,Ángela,2dADLyH,Ángela,
0pK95xy,ad perpetuam,SAME_ID,0pK95xy,<i>ad perpetuam</i>,0pK95xy,<i>ad perpetuam</i>,
0qV5tGo,ad tempus,SAME_ID,0qV5tGo,<i>ad tempus</i>,0qV5tGo,<i>ad tempus</i>,
0pvnJ9h,ad referendum,SAME_ID,0pvnJ9h,<i>ad referendum</i>,0pvnJ9h,<i>ad referendum</i>,
0pLV5dW,ad quem,SAME_ID,0pLV5dW,<i>ad quem</i>,0pLV5dW,<i>ad quem</i>,
0sGeln3,ad valorem,SAME_ID,0sGeln3,<i>ad valorem</i>,0sGeln3,<i>ad valorem</i>,
0n7ESlF,ad nauseam,SAME_ID,0n7ESlF,<i>ad nauseam</i>,0n7ESlF,<i>ad nauseam</i>,
0nEwxpa,ad nutum,SAME_ID,0nEwxpa,<i>ad nutum</i>,0nEwxpa,<i>ad nutum</i>,
0m8gjWK,ad litteram,SAME_ID,0m8gjWK,<i>ad litteram</i>,0m8gjWK,<i>ad litteram</i>,
3JdXcMt,a priori,SAME_ID,3JdXcMt,<i>a priori</i>,3JdXcMt,<i>a priori</i>,
0m7crM7,ad limina,SAME_ID,0m7crM7,<i>ad limina</i>,0m7crM7,<i>ad limina</i>,
3OGLpcR,a radice,SAME_ID,3OGLpcR,<i>a radice</i>,3OGLpcR,<i>a radice</i>,
0m3VSvG,ad libitum,SAME_ID,0m3VSvG,<i>ad libitum</i>,0m3VSvG,<i>ad libitum</i>,
3NK26ap,a quo,SAME_ID,3NK26ap,<i>a quo</i>,3NK26ap,<i>a quo</i>,
2RUsypi,ampère,SAME_ID,2RUsypi,<i>ampère</i>,2RUsypi,<i>ampère</i>,
KxPqpET,‒́il,SAME_ID,KxPqpET,‒́il,KxPqpET,‒́il,
Lcxkw1S,in itinere,SAME_ID,Lcxkw1S,<i>in itinere</i>,Lcxkw1S,<i>in itinere</i>,
LeN78IB,in memoriam,SAME_ID,LeN78IB,<i>in memoriam</i>,LeN78IB,<i>in memoriam</i>,
LcgKi5C,in illo tempore,SAME_ID,LcgKi5C,<i>in illo tempore</i>,LcgKi5C,<i>in illo tempore</i>,
LcoPm3X,in integrum,SAME_ID,LcoPm3X,<i>in integrum</i>,LcoPm3X,<i>in integrum</i>,
LmnWpQn,in statu quo,SAME_ID,LmnWpQn,<i>in statu quo</i>,LmnWpQn,<i>in statu quo</i>,
LiWqF0U,in púribus,SAME_ID,LiWqF0U,in púribus,LiWqF0U,in púribus,
LiSD5dk,in perpetuum,SAME_ID,LiSD5dk,<i>in perpetuum</i>,LiSD5dk,<i>in perpetuum</i>,
Le5AFqG,in medias res,SAME_ID,Le5AFqG,<i>in medias res</i>,Le5AFqG,<i>in medias res</i>,
M1mvimL,in utroque jure,SAME_ID,M1mvimL,<i>in utroque jure</i>,M1mvimL,<i>in utroque jure</i>,
LiNk5DU,in partibus,SAME_ID,LiNk5DU,<i>in partibus</i>,LiNk5DU,<i>in partibus</i>,
LiNkM3K,in partibus infidelium,SAME_ID,LiNkM3K,<i>in partibus infidelium</i>,LiNkM3K,<i>in partibus infidelium</i>,
LiUNB1A,in promptu,SAME_ID,LiUNB1A,<i>in promptu</i>,LiUNB1A,<i>in promptu</i>,
LlJeGAq,in situ,SAME_ID,LlJeGAq,<i>in situ</i>,LlJeGAq,<i>in situ</i>,
LiQuOqq,in pectore,SAME_ID,LiQuOqq,<i>in pectore</i>,LiQuOqq,<i>in pectore</i>,
LeUeikl,in mente,SAME_ID,LeUeikl,<i>in mente</i>,LeUeikl,<i>in mente</i>,
LvQSuA9,in terminis,SAME_ID,LvQSuA9,<i>in terminis</i>,LvQSuA9,<i>in terminis</i>,
M1Vgfq4,in utroque,SAME_ID,M1Vgfq4,<i>in utroque</i>,M1Vgfq4,<i>in utroque</i>,
M4dN6uq,in vivo,SAME_ID,M4dN6uq,<i>in vivo</i>,M4dN6uq,<i>in vivo</i>,
M4cX8vQ,in vitro,SAME_ID,M4cX8vQ,<i>in vitro</i>,M4cX8vQ,<i>in vitro</i>,
LlkrAN7,in solidum,SAME_ID,LlkrAN7,<i>in solidum</i>,LlkrAN7,<i>in solidum</i>,
M4i4erf,in voce,SAME_ID,M4i4erf,<i>in voce</i>,M4i4erf,<i>in voce</i>,
M1Z3Y8h,in utroque iure,SAME_ID,M1Z3Y8h,<i>in utroque iure</i>,M1Z3Y8h,<i>in utroque iure</i>,
Nwf1tnn,maître,SAME_ID,Nwf1tnn,<i>maître</i>,Nwf1tnn,<i>maître</i>,
