header,clave,rae_id
a,a,002rZ9U
a,a,003Ov93
a capela,a capela,0IH2PPT
a contrariis,a contrariis,0Ycjk19
a contrario sensu,a contrario sensu,0YeQhbj
a divinis,a divinis,0lRFmDK
a fortiori,a fortiori,10O8Vwn
a latere,a latere,1ToneTZ
a limine,a limine,1rsqmsF
a nativitate,a nativitate,2X3Aax6
a pari,a pari,35bfw1o
ab aeterno,ab aeterno,00qa1LD
ab initio,ab initio,05bjSNP
ab intestato,ab intestato,05gAmnz
ab irato,ab irato,05i8qrn
ab origine,ab origine,08pfQUj
ab ovo,ab ovo,09drH6i
aba,aba,009ISzT
abaá,abaá,00A4fgJ
ababillarse,ababillarse,00BpaTR
ababol,ababol,00CWca0
abacá,abacá,00GxCz2
abacal,abacal,00H2PMC
"abacalero, ra",abacalero,00HQuS9
abacería,abacería,00L4uMi
"abacero, ra",abacero,00M0KZi
abacial,abacial,00N5h3d
ábaco,ábaco,00NXKXl
abacora,abacora,00Q8yar
abacorar,abacorar,00TmcMY
"abad, desa",abad,00TuMgr
abada,abada,00W74to
abadejo,abadejo,00ZsOaq
"abadengo, ga",abadengo,00aqifO
abadernar,abadernar,00ei7Fm
abadesa,abadesa,00gSU3j
abadí,abadí,00hcAV6
abadía,abadía,00k29Tl
abadiado,abadiado,00m8hfk
abadiato,abadiato,00puPtm
abajadero,abajadero,00xrCPP
abajamiento,abajamiento,011g8Dl
abajar,abajar,013adxN
"abajeño, ña",abajeño,017F2e2
abajera,abajera,01ADlKw
abajo,abajo,01ASl9i
abakuá,abakuá,01BjXOf
abalada,abalada,01CTtek
abalanzar,abalanzar,01DsKtW
"abalaustrado, da",abalaustrado,01EKBWA
"abalconado, da",abalconado,01GSpsY
abaldonar,abaldonar,01HjLd2
abalear,abalear,01IgPJM
abalear,abalear,01Jirud
abaleo,abaleo,01K96aC
abaleo,abaleo,01N4lXN
abalizar,abalizar,01Puf0h
aballar,aballar,01dAobA
aballar,aballar,01RJtBe
aballestar,aballestar,01dsQAM
abalorio,abalorio,01fIkDY
abaluartar,abaluartar,01i9LZE
abanador,abanador,01kWj6r
abanar,abanar,01lkWsK
abancalar,abancalar,01mVukj
abanda,abanda,01qOV5B
"abanderado, da",abanderado,01sgTE4
abanderamiento,abanderamiento,01tTCa4
abanderar,abanderar,01w0u32
abanderizar,abanderizar,01wlJUD
"abandonado, da",abandonado,01yUKz8
abandonamiento,abandonamiento,01yYPxI
abandonar,abandonar,01yxXv6
abandonismo,abandonismo,01zGcJh
abandonista,abandonista,01zZw2b
abandono,abandono,023UD0Z
abanicar,abanicar,023W9Bo
abanicazo,abanicazo,026BMN4
abanico,abanico,026nuiv
abanillo,abanillo,027RFhz
abanino,abanino,02Jyzib
abaniqueo,abaniqueo,02LInQG
abaniquería,abaniquería,02LtDIC
"abaniquero, ra",abaniquero,02Mzg5i
abano,abano,02N3a2l
"abanquino, na",abanquino,02OTgZB
"abanto, ta",abanto,02OyN9R
abarajar,abarajar,02PnYv6
abaratamiento,abaratamiento,02R1E2x
abaratar,abaratar,02RFj73
abarbetar,abarbetar,02RTDyN
abarca,abarca,02Sglvn
abarcable,abarcable,02U2c7i
"abarcador, ra",abarcador,02UQyyS
abarcamiento,abarcamiento,02VhN65
abarcar,abarcar,02WEpxO
abarcón,abarcón,02YRxcn
"abaritonado, da",abaritonado,02YgTUN
abarloar,abarloar,02cNb42
abarque,abarque,02fGvau
"abarquero, ra",abarquero,02hg1uz
"abarquillado, da",abarquillado,02iZGvF
abarquillamiento,abarquillamiento,02j3iAc
abarquillar,abarquillar,02lbpVI
abarracar,abarracar,02oJMO2
abarraganamiento,abarraganamiento,02q3LOW
abarraganarse,abarraganarse,02wit3G
"abarrajado, da",abarrajado,02xyIY8
abarrajar,abarrajar,031d6VA
"abarrancado, da",abarrancado,0331Unz
abarrancamiento,abarrancamiento,033tYoh
abarrancar,abarrancar,0344xtp
abarrar,abarrar,036WV8x
abarraz,abarraz,037cTAo
abarrisco,abarrisco,037e7SP
"abarrocado, da",abarrocado,03D23kr
abarrotamiento,abarrotamiento,03Enmab
abarrotar,abarrotar,03FQUsP
abarrote,abarrote,03Leis4
abarrotería,abarrotería,03PkIVr
"abarrotero, ra",abarrotero,03QSPFF
abarse,abarse,03SVLaE
abasí,abasí,03T5CaX
abasida,abasida,03T6faa
