header,clave,rae_id
a-,a-,003XJY1
a-,a-,006hGa6
a posteriori,a posteriori,3HFytIB
a priori,a priori,3JdXcMt
a quo,a quo,3NK26ap
a radice,a radice,3OGLpcR
a sensu contrario,a sensu contrario,3xNuNuB
a simili,a simili,40P0NEL
-able,-able,06VsTFX
Abraham,Abraham,0A3RgnP
Abrahán,Abrahán,0A5CVRj
ABS,ABS,0BytV56
-achón,-achón,0SBXoGb
"-achuelo, la",-achuelo,0SQc5ML
-ación,-ación,0UA3ZBx
ad-,ad-,0gYPN6u
ad libitum,ad libitum,0m3VSvG
ad limina,ad limina,0m7crM7
ad litteram,ad litteram,0m8gjWK
ad nauseam,ad nauseam,0n7ESlF
ad nutum,ad nutum,0nEwxpa
ad pedem litterae,ad pedem litterae,0pIkOuK
ad perpetuam,ad perpetuam,0pK95xy
ad personam,ad personam,0pL4UU7
ad quem,ad quem,0pLV5dW
ad referendum,ad referendum,0pvnJ9h
ad tempus,ad tempus,0qV5tGo
ad valorem,ad valorem,0sGeln3
"-adero, ra",-adero,0jP2F4J
ADN,ADN,0myw40a
"-ador, ra",-ador,0oWyp5O
ADSL,ADSL,0qJoM3u
-adura,-adura,0ryHaU5
Adviento,Adviento,0stC04n
agnus Dei,agnus Dei,164SBCx
Agramante,Agramante,17yEAVL
Airón,Airón,1LFdt7D
-ajón,-ajón,1ODlufO
Alcalá,Alcalá,1b9mt26
Alcántara,Alcántara,1cDZnjj
Alcorán,Alcorán,1eURqN6
Alejandría,Alejandría,1hPm6OK
algún,algún,1oNT36b
Alicante,Alicante,1qFoZBi
Allen,Allen,1vLyYYb
Altísimo,Altísimo,27MdCwA
Alzheimer,Alzheimer,2B2GW59
AM,AM,2B6laEC
-amento,-amento,2K4DV1i
América,América,2K9Sy1z
Américas,Américas,2KSgMun
-amiento,-amiento,2LawU8M
Amón,Amón,2ONo22M
ampère,ampère,2RUsypi
Anchuelo,Anchuelo,2XhBPcl
-ancia,-ancia,2Xiwer9
Andrés,Andrés,2aL1PJV
Ángela,Ángela,2dADLyH
Antillas,Antillas,2tTnKm1
Antón,Antón,2xnGUZK
Antonio,Antonio,2xvGZW0
"aquellos, llas",aquellos,3MH5fe6
aquelo,aquelo,3MH8U50
"aquelos, las",aquelos,3MHDPUA
aqueso,aqueso,3MZX30e
"aquesos, sas",aquesos,3Mb2ozD
aquesto,aquesto,3Md6DX9
"aquestos, tas",aquestos,3MeP0Xe
Aquiles,Aquiles,3MwXR9i
"-aracho, cha",-aracho,3O3jFBC
-arada,-arada,3OFFcWZ
Aragón,Aragón,3OPDFly
-arajo,-arajo,3OcnTet
-areda,-areda,3UT4ta2
Armenia,Armenia,3ayiDp4
ARN,ARN,3c0nZtQ
Arquímedes,Arquímedes,3dlJeLj
"-arraco, ca",-arraco,3eTuBLy
-arrada,-arrada,3eWZduP
-arrajo,-arrajo,3evVv2y
