categoria,clave,header,rae_id
empieza_con_guion,-able,-able,06VsTFX
empieza_con_guion,-achuelo,"-achuelo, la",0SQc5ML
empieza_con_guion,-achón,-achón,0SBXoGb
empieza_con_guion,-ación,-ación,0UA3ZBx
empieza_con_guion,-adero,"-adero, ra",0jP2F4J
empieza_con_guion,-ador,"-ador, ra",0oWyp5O
empieza_con_guion,-adura,-adura,0ryHaU5
empieza_con_guion,-ajón,-ajón,1ODlufO
empieza_con_guion,-amento,-amento,2K4DV1i
empieza_con_guion,-amiento,-amiento,2LawU8M
empieza_con_guion,-ancia,-ancia,2Xiwer9
empieza_con_guion,-aracho,"-aracho, cha",3O3jFBC
empieza_con_guion,-arada,-arada,3OFFcWZ
empieza_con_guion,-arajo,-arajo,3OcnTet
empieza_con_guion,-areda,-areda,3UT4ta2
empieza_con_guion,-arraco,"-arraco, ca",3eTuBLy
empieza_con_guion,-arrada,-arrada,3eWZduP
empieza_con_guion,-arrajo,-arrajo,3evVv2y
empieza_con_guion,-arro,"-arro, rra",3li1D1e
empieza_con_guion,-arrón,-arrón,3nOEaqM
empieza_con_guion,-asco,"-asco, ca",3wGcnoF
empieza_con_guion,-asis,-asis,411V9qv
empieza_con_guion,-astre,-astre,45s6f5P
empieza_con_guion,-astrón,"-astrón, na",46SgWle
empieza_con_guion,-ativo,"-ativo, va",4G4oVYf
empieza_con_guion,-atorio,"-atorio, ria",4INg5C0
empieza_con_guion,-bilidad,-bilidad,5Vqc7J7
empieza_con_guion,-bilísimo,"-bilísimo, ma",5W1OgFg
empieza_con_guion,-cer,-cer,8I7zs8i
empieza_con_guion,-cete,"-cete, ta",8QNNVMi
empieza_con_guion,-cico,"-cico, ca",9AFD0eR
empieza_con_guion,-cillo,"-cillo, lla",9DOeZ6d
empieza_con_guion,-ececico,"-ececico, ca",EJSx8hb
empieza_con_guion,-ececillo,"-ececillo, lla",EJTKIJ8
empieza_con_guion,-ececito,"-ececito, ta",EJUJr7w
empieza_con_guion,-ecezuelo,"-ecezuelo, la",EJXirtP
empieza_con_guion,-ecico,"-ecico, ca",EK89MlR
empieza_con_guion,-ecillo,"-ecillo, lla",EKB9w4I
empieza_con_guion,-ecito,"-ecito, ta",EKC7WWx
empieza_con_guion,-edad,-edad,ENATORl
empieza_con_guion,-edal,-edal,ENFwLx8
empieza_con_guion,-edero,"-edero, ra",ENQ9cwG
empieza_con_guion,-edor,"-edor, ra",ENvG7Ws
empieza_con_guion,-edura,-edura,EORpzyf
empieza_con_guion,-ego,"-ego, ga",EQoE7aL
empieza_con_guion,-ejón,-ejón,ESkmCZU
empieza_con_guion,-ema,-ema,EZ2Ofo7
empieza_con_guion,-encia,-encia,F64wazA
empieza_con_guion,-esco,"-esco, ca",GF6D1qs
empieza_con_guion,-esino,"-esino, na",GQkD91K
empieza_con_guion,-esis,-esis,GQmPBto
empieza_con_guion,-etón,-etón,H5GTUpN
empieza_con_guion,-ezuelo,"-ezuelo, la",HR22WKq
empieza_con_guion,-huelo,"-huelo, la",KlAQG5L
empieza_con_guion,-iano,"-iano, na",KrWQlR5
empieza_con_guion,-ible,-ible,KrqSttz
empieza_con_guion,-ichuelo,"-ichuelo, la",Ks8Pn8e
empieza_con_guion,-ición,-ición,KsCJZny
empieza_con_guion,-idad,-idad,KtLQ9qb
empieza_con_guion,-idero,"-idero, ra",KuHA7rF
empieza_con_guion,-idor,"-idor, ra",KvB1ZIY
empieza_con_guion,-idura,-idura,KvGioHm
empieza_con_guion,-iense,-iense,KvNh82L
empieza_con_guion,-iento,"-iento, ta",KvPM0mO
empieza_con_guion,-imento,-imento,L11ttMb
empieza_con_guion,-imiento,-imiento,L120iDS
empieza_con_guion,-isco,"-isco, ca",MAR83U2
empieza_con_guion,-itivo,"-itivo, va",MEVTZG4
empieza_con_guion,-itorio,"-itorio, ria",MEeJQTG
empieza_con_guion,-izco,"-izco, ca",MFILa1i
empieza_con_guion,-nta,-nta,QgY70aB
empieza_con_guion,-oideo,-oideo,Qx5xQD0
empieza_con_guion,-oides,-oides,Qx62D6n
empieza_con_guion,-orrio,"-orrio, rria",RFiXRLQ
empieza_con_guion,-orro,"-orro, rra",RFkmHVm
empieza_con_guion,-osis,-osis,RI6iTY9
empieza_con_guion,-strajo,-strajo,YUEHlL1
empieza_con_guion,-tano,"-tano, na",Z5V5Ss6
empieza_con_guion,-usco,"-usco, ca",bBCLrg8
empieza_con_guion,-uzco,"-uzco, ca",bDvxJQj
empieza_con_guion,-zuelo,"-zuelo, la",cWPN9rE
contiene_espacios,a posteriori,a posteriori,3HFytIB
contiene_espacios,a priori,a priori,3JdXcMt
contiene_espacios,a quo,a quo,3NK26ap
contiene_espacios,a radice,a radice,3OGLpcR
