categoria,clave,old_header,old_rae_id,estado,current_ids_by_header,current_headers_by_old_id
empieza_con_guion,-able,-able,06VsTFX,NINGUNO,,
empieza_con_guion,-achuelo,"-achuelo, la",0SQc5ML,NINGUNO,,
empieza_con_guion,-achón,-achón,0SBXoGb,NINGUNO,,
empieza_con_guion,-ación,-ación,0UA3ZBx,NINGUNO,,
empieza_con_guion,-adero,"-adero, ra",0jP2F4J,NINGUNO,,
empieza_con_guion,-ador,"-ador, ra",0oWyp5O,NINGUNO,,
empieza_con_guion,-adura,-adura,0ryHaU5,NINGUNO,,
empieza_con_guion,-ajón,-ajón,1ODlufO,NINGUNO,,
empieza_con_guion,-amento,-amento,2K4DV1i,NINGUNO,,
empieza_con_guion,-amiento,-amiento,2LawU8M,NINGUNO,,
empieza_con_guion,-ancia,-ancia,2Xiwer9,NINGUNO,,
empieza_con_guion,-aracho,"-aracho, cha",3O3jFBC,NINGUNO,,
empieza_con_guion,-arada,-arada,3OFFcWZ,NINGUNO,,
empieza_con_guion,-arajo,-arajo,3OcnTet,NINGUNO,,
empieza_con_guion,-areda,-areda,3UT4ta2,NINGUNO,,
empieza_con_guion,-arraco,"-arraco, ca",3eTuBLy,NINGUNO,,
empieza_con_guion,-arrada,-arrada,3eWZduP,NINGUNO,,
empieza_con_guion,-arrajo,-arrajo,3evVv2y,NINGUNO,,
empieza_con_guion,-arro,"-arro, rra",3li1D1e,NINGUNO,,
empieza_con_guion,-arrón,-arrón,3nOEaqM,NINGUNO,,
empieza_con_guion,-asco,"-asco, ca",3wGcnoF,NINGUNO,,
empieza_con_guion,-asis,-asis,411V9qv,NINGUNO,,
empieza_con_guion,-astre,-astre,45s6f5P,NINGUNO,,
empieza_con_guion,-astrón,"-astrón, na",46SgWle,NINGUNO,,
empieza_con_guion,-ativo,"-ativo, va",4G4oVYf,NINGUNO,,
empieza_con_guion,-atorio,"-atorio, ria",4INg5C0,NINGUNO,,
empieza_con_guion,-bilidad,-bilidad,5Vqc7J7,NINGUNO,,
empieza_con_guion,-bilísimo,"-bilísimo, ma",5W1OgFg,NINGUNO,,
empieza_con_guion,-cer,-cer,8I7zs8i,NINGUNO,,
empieza_con_guion,-cete,"-cete, ta",8QNNVMi,NINGUNO,,
empieza_con_guion,-cico,"-cico, ca",9AFD0eR,NINGUNO,,
empieza_con_guion,-cillo,"-cillo, lla",9DOeZ6d,NINGUNO,,
empieza_con_guion,-ececico,"-ececico, ca",EJSx8hb,NINGUNO,,
empieza_con_guion,-ececillo,"-ececillo, lla",EJTKIJ8,NINGUNO,,
empieza_con_guion,-ececito,"-ececito, ta",EJUJr7w,NINGUNO,,
empieza_con_guion,-ecezuelo,"-ecezuelo, la",EJXirtP,NINGUNO,,
empieza_con_guion,-ecico,"-ecico, ca",EK89MlR,NINGUNO,,
empieza_con_guion,-ecillo,"-ecillo, lla",EKB9w4I,NINGUNO,,
empieza_con_guion,-ecito,"-ecito, ta",EKC7WWx,NINGUNO,,
