categoria,clave,old_header,old_rae_id,estado,current_ids_by_header,current_headers_by_old_id
termina_con_guion,a-,a-,003XJY1,ID_EXISTE_HEADER_NO,,a-<sup>1</sup>
termina_con_guion,a-,a-,006hGa6,ID_EXISTE_HEADER_NO,,a-<sup>2</sup>
contiene_espacios,agnus Dei,agnus Dei,164SBCx,ID_EXISTE_HEADER_NO,,<i>agnus Dei</i>
empieza_con_mayuscula,Airón,Airón,1LFdt7D,ID_EXISTE_HEADER_NO,,Airón<sup>2</sup>
empieza_con_mayuscula,Alcántara,Alcántara,1cDZnjj,ID_EXISTE_HEADER_NO,,Alcántara<sup>2</sup>
empieza_con_mayuscula,Alicante,Alicante,1qFoZBi,ID_EXISTE_HEADER_NO,,Alicante<sup>2</sup>
mayusculas,AVE,AVE,4XBPG4o,ID_EXISTE_HEADER_NO,,AVE<sup>3</sup>
empieza_con_mayuscula,Bamba,Bamba,4vYKRIn,ID_EXISTE_HEADER_NO,,Bamba<sup>4</sup>
minuscula,bestializarse,bestializarse,5Pa1lZo,ID_EXISTE_HEADER_NO,,bestializar
empieza_con_mayuscula,Bohemia,Bohemia,5lX1qkS,ID_EXISTE_HEADER_NO,,Bohemia<sup>2</sup>
empieza_con_mayuscula,Brasil,Brasil,63Zi6EZ,ID_EXISTE_HEADER_NO,,Brasil<sup>2</sup>
empieza_con_mayuscula,Bruselas,Bruselas,6BzwRGZ,ID_EXISTE_HEADER_NO,,Bruselas<sup>2</sup>
empieza_con_mayuscula,Cabo,Cabo,6S603J4,ID_EXISTE_HEADER_NO,,Cabo<sup>2</sup>
empieza_con_mayuscula,Calleja,Calleja,6pn3vAV,ID_EXISTE_HEADER_NO,,Calleja<sup>2</sup>
empieza_con_mayuscula,Cardona,Cardona,7VxtTzx,ID_EXISTE_HEADER_NO,,Cardona<sup>2</sup>
empieza_con_mayuscula,Chile,Chile,8lFNNNW,ID_EXISTE_HEADER_NO,,Chile<sup>2</sup>
minuscula,chullpi,chullpi,93FixWj,ID_EXISTE_HEADER_NO,,chulpi
empieza_con_mayuscula,Corinto,Corinto,Asrumdo,ID_EXISTE_HEADER_NO,,Corinto<sup>1</sup>
empieza_con_mayuscula,Corpus,Corpus,AwSPUeK,ID_EXISTE_HEADER_NO,,Corpus<sup>1</sup>
empieza_con_mayuscula,Cuenca,Cuenca,BZr18lT,ID_EXISTE_HEADER_NO,,Cuenca<sup>2</sup>
contiene_espacios,Deo volente,Deo volente,CEUGngB,ID_EXISTE_HEADER_NO,,<i>Deo volente</i>
mayusculas,DIN,DIN,DnhzO94,ID_EXISTE_HEADER_NO,,DIN<sup>2</sup>
empieza_con_mayuscula,Domingo,Domingo,E6srI3L,ID_EXISTE_HEADER_NO,,Domingo<sup>2</sup>
minuscula,endeudarse,endeudarse,FCm0mlz,ID_EXISTE_HEADER_NO,,endeudar
empieza_con_mayuscula,Ertzaintza,Ertzaintza,G4BKwyC,ID_EXISTE_HEADER_NO,,<i>Ertzaintza</i>
empieza_con_mayuscula,Escila,Escila,GE0IEc3,ID_EXISTE_HEADER_NO,,Escila<sup>2</sup>
empieza_con_mayuscula,Escocia,Escocia,GG4ARfQ,ID_EXISTE_HEADER_NO,,Escocia<sup>1</sup>
minuscula,fondongo,"fondongo, ga",IBqK1SP,ID_EXISTE_HEADER_NO,,"fodongo, ga"
