categoria,clave,old_header,old_rae_id,estado,current_ids_by_header,current_headers_by_old_id
empieza_con_mayuscula,Abraham,Abraham,0A3RgnP,ID_Y_HEADER_EXISTEN,0A3RgnP,Abraham
empieza_con_mayuscula,Abrahán,Abrahán,0A5CVRj,ID_Y_HEADER_EXISTEN,0A5CVRj,Abrahán
mayusculas,ABS,ABS,0BytV56,ID_Y_HEADER_EXISTEN,0BytV56,ABS
termina_con_guion,ad-,ad-,0gYPN6u,ID_Y_HEADER_EXISTEN,0gYPN6u,ad-
mayusculas,ADN,ADN,0myw40a,ID_Y_HEADER_EXISTEN,0myw40a,ADN
mayusculas,ADSL,ADSL,0qJoM3u,ID_Y_HEADER_EXISTEN,0qJoM3u,ADSL
empieza_con_mayuscula,Adviento,Adviento,0stC04n,ID_Y_HEADER_EXISTEN,0stC04n,Adviento
empieza_con_mayuscula,Agramante,Agramante,17yEAVL,ID_Y_HEADER_EXISTEN,17yEAVL,Agramante
empieza_con_mayuscula,Alcalá,Alcalá,1b9mt26,ID_Y_HEADER_EXISTEN,1b9mt26,Alcalá
empieza_con_mayuscula,Alcorán,Alcorán,1eURqN6,ID_Y_HEADER_EXISTEN,1eURqN6,Alcorán
empieza_con_mayuscula,Alejandría,Alejandría,1hPm6OK,ID_Y_HEADER_EXISTEN,1hPm6OK,Alejandría
empieza_con_mayuscula,Allen,Allen,1vLyYYb,ID_Y_HEADER_EXISTEN,1vLyYYb,Allen
empieza_con_mayuscula,Altísimo,Altísimo,27MdCwA,ID_Y_HEADER_EXISTEN,27MdCwA,Altísimo
empieza_con_mayuscula,Alzheimer,Alzheimer,2B2GW59,ID_Y_HEADER_EXISTEN,2B2GW59,Alzheimer
mayusculas,AM,AM,2B6laEC,ID_Y_HEADER_EXISTEN,2B6laEC,AM
empieza_con_mayuscula,América,América,2K9Sy1z,ID_Y_HEADER_EXISTEN,2K9Sy1z,América
empieza_con_mayuscula,Américas,Américas,2KSgMun,ID_Y_HEADER_EXISTEN,2KSgMun,Américas
empieza_con_mayuscula,Amón,Amón,2ONo22M,ID_Y_HEADER_EXISTEN,2ONo22M,Amón
empieza_con_mayuscula,Anchuelo,Anchuelo,2XhBPcl,ID_Y_HEADER_EXISTEN,2XhBPcl,Anchuelo
empieza_con_mayuscula,Andrés,Andrés,2aL1PJV,ID_Y_HEADER_EXISTEN,2aL1PJV,Andrés
empieza_con_mayuscula,Antillas,Antillas,2tTnKm1,ID_Y_HEADER_EXISTEN,2tTnKm1,Antillas
empieza_con_mayuscula,Antonio,Antonio,2xvGZW0,ID_Y_HEADER_EXISTEN,2xvGZW0,Antonio
empieza_con_mayuscula,Antón,Antón,2xnGUZK,ID_Y_HEADER_EXISTEN,2xnGUZK,Antón
empieza_con_mayuscula,Aquiles,Aquiles,3MwXR9i,ID_Y_HEADER_EXISTEN,3MwXR9i,Aquiles
empieza_con_mayuscula,Aragón,Aragón,3OPDFly,ID_Y_HEADER_EXISTEN,3OPDFly,Aragón
empieza_con_mayuscula,Armenia,Armenia,3ayiDp4,ID_Y_HEADER_EXISTEN,3ayiDp4,Armenia
mayusculas,ARN,ARN,3c0nZtQ,ID_Y_HEADER_EXISTEN,3c0nZtQ,ARN
empieza_con_mayuscula,Arquímedes,Arquímedes,3dlJeLj,ID_Y_HEADER_EXISTEN,3dlJeLj,Arquímedes
empieza_con_mayuscula,Arrás,Arrás,3fgItCW,ID_Y_HEADER_EXISTEN,3fgItCW,Arrás
mayusculas,ATS,ATS,4LhZGwN,ID_Y_HEADER_EXISTEN,4LhZGwN,ATS
empieza_con_mayuscula,Babia,Babia,4ia1kp9,ID_Y_HEADER_EXISTEN,4ia1kp9,Babia
empieza_con_mayuscula,Barcelona,Barcelona,53yEDrc,ID_Y_HEADER_EXISTEN,53yEDrc,Barcelona
