clave,header,rae_id
a posteriori,a posteriori,3HFytIB
a priori,a priori,3JdXcMt
a quo,a quo,3NK26ap
a radice,a radice,3OGLpcR
a sensu contrario,a sensu contrario,3xNuNuB
a simili,a simili,40P0NEL
ad libitum,ad libitum,0m3VSvG
ad limina,ad limina,0m7crM7
ad litteram,ad litteram,0m8gjWK
ad nauseam,ad nauseam,0n7ESlF
ad nutum,ad nutum,0nEwxpa
ad pedem litterae,ad pedem litterae,0pIkOuK
ad perpetuam,ad perpetuam,0pK95xy
ad personam,ad personam,0pL4UU7
ad quem,ad quem,0pLV5dW
ad referendum,ad referendum,0pvnJ9h
ad tempus,ad tempus,0qV5tGo
ad valorem,ad valorem,0sGeln3
agnus Dei,agnus Dei,164SBCx
Buenos Aires,Buenos Aires,6EbEq6s
Cástor y Pólux,Cástor y Pólux,7rXwh8y
Deo volente,Deo volente,CEUGngB
El Escorial,El Escorial,EWzrcO6
Gloria Patri,Gloria Patri,JFVwZ7q
in fraganti,in fraganti,LYnESFR
in illo tempore,in illo tempore,LcgKi5C
in integrum,in integrum,LcoPm3X
in itinere,in itinere,Lcxkw1S
in medias res,in medias res,Le5AFqG
in memoriam,in memoriam,LeN78IB
in mente,in mente,LeUeikl
in partibus,in partibus,LiNk5DU
in partibus infidelium,in partibus infidelium,LiNkM3K
in pectore,in pectore,LiQuOqq
in perpetuum,in perpetuum,LiSD5dk
in promptu,in promptu,LiUNB1A
in púribus,in púribus,LiWqF0U
in situ,in situ,LlJeGAq
in solidum,in solidum,LlkrAN7
in statu quo,in statu quo,LmnWpQn
in terminis,in terminis,LvQSuA9
in utroque,in utroque,M1Vgfq4
in utroque iure,in utroque iure,M1Z3Y8h
in utroque jure,in utroque jure,M1mvimL
in vitro,in vitro,M4cX8vQ
in vivo,in vivo,M4dN6uq
in voce,in voce,M4i4erf
invita Minerva,invita Minerva,M4WzZQH
laus Deo,laus Deo,N0CaPAD
Pange lingua,Pange lingua,Rgqp5Cz
Petrus in cunctis,Petrus in cunctis,Sqeoqgo
Tantum ergo,Tantum ergo,Z64SZbx
Yom Kippur,Yom Kippur,cCvrW91
Yom Kipur,Yom Kipur,cCw0d3F
