clave,header,rae_id
-able,-able,06VsTFX
-achuelo,"-achuelo, la",0SQc5ML
-achón,-achón,0SBXoGb
-ación,-ación,0UA3ZBx
-adero,"-adero, ra",0jP2F4J
-ador,"-ador, ra",0oWyp5O
-adura,-adura,0ryHaU5
-ajón,-ajón,1ODlufO
-amento,-amento,2K4DV1i
-amiento,-amiento,2LawU8M
-ancia,-ancia,2Xiwer9
-aracho,"-aracho, cha",3O3jFBC
-arada,-arada,3OFFcWZ
-arajo,-arajo,3OcnTet
-areda,-areda,3UT4ta2
-arraco,"-arraco, ca",3eTuBLy
-arrada,-arrada,3eWZduP
-arrajo,-arrajo,3evVv2y
-arro,"-arro, rra",3li1D1e
-arrón,-arrón,3nOEaqM
-asco,"-asco, ca",3wGcnoF
-asis,-asis,411V9qv
-astre,-astre,45s6f5P
-astrón,"-astrón, na",46SgWle
-ativo,"-ativo, va",4G4oVYf
-atorio,"-atorio, ria",4INg5C0
-bilidad,-bilidad,5Vqc7J7
-bilísimo,"-bilísimo, ma",5W1OgFg
-cer,-cer,8I7zs8i
-cete,"-cete, ta",8QNNVMi
-cico,"-cico, ca",9AFD0eR
-cillo,"-cillo, lla",9DOeZ6d
-ececico,"-ececico, ca",EJSx8hb
-ececillo,"-ececillo, lla",EJTKIJ8
-ececito,"-ececito, ta",EJUJr7w
-ecezuelo,"-ecezuelo, la",EJXirtP
-ecico,"-ecico, ca",EK89MlR
-ecillo,"-ecillo, lla",EKB9w4I
-ecito,"-ecito, ta",EKC7WWx
-edad,-edad,ENATORl
-edal,-edal,ENFwLx8
-edero,"-edero, ra",ENQ9cwG
-edor,"-edor, ra",ENvG7Ws
-edura,-edura,EORpzyf
-ego,"-ego, ga",EQoE7aL
-ejón,-ejón,ESkmCZU
-ema,-ema,EZ2Ofo7
-encia,-encia,F64wazA
-esco,"-esco, ca",GF6D1qs
-esino,"-esino, na",GQkD91K
-esis,-esis,GQmPBto
-etón,-etón,H5GTUpN
-ezuelo,"-ezuelo, la",HR22WKq
-huelo,"-huelo, la",KlAQG5L
-iano,"-iano, na",KrWQlR5
-ible,-ible,KrqSttz
-ichuelo,"-ichuelo, la",Ks8Pn8e
-ición,-ición,KsCJZny
-idad,-idad,KtLQ9qb
-idero,"-idero, ra",KuHA7rF
-idor,"-idor, ra",KvB1ZIY
-idura,-idura,KvGioHm
-iense,-iense,KvNh82L
-iento,"-iento, ta",KvPM0mO
-imento,-imento,L11ttMb
-imiento,-imiento,L120iDS
-isco,"-isco, ca",MAR83U2
-itivo,"-itivo, va",MEVTZG4
-itorio,"-itorio, ria",MEeJQTG
-izco,"-izco, ca",MFILa1i
-nta,-nta,QgY70aB
-oideo,-oideo,Qx5xQD0
-oides,-oides,Qx62D6n
-orrio,"-orrio, rria",RFiXRLQ
-orro,"-orro, rra",RFkmHVm
-osis,-osis,RI6iTY9
-strajo,-strajo,YUEHlL1
-tano,"-tano, na",Z5V5Ss6
-usco,"-usco, ca",bBCLrg8
-uzco,"-uzco, ca",bDvxJQj
-zuelo,"-zuelo, la",cWPN9rE
