clave,header,rae_id
ABS,ABS,0BytV56
ADN,ADN,0myw40a
ADSL,ADSL,0qJoM3u
AM,AM,2B6laEC
ARN,ARN,3c0nZtQ
ATS,ATS,4LhZGwN
AVE,AVE,4XBPG4o
CD,CD,846shPv
CD-ROM,CD-ROM,848XxEW
COVID,COVID,BAjhQ3X
DDT,DDT,BtBOXkO
DIN,DIN,DnhzO94
DNA,DNA,E1xhjgs
DNI,DNI,E1yehOH
DVD,DVD,EITKPOm
ESO,ESO,GSANc3R
GPS,GPS,JNqHTYE
IPC,IPC,M5Twh46
IRPF,IRPF,M6noDQ8
ISBN,ISBN,MAOZu6u
ISO,ISO,MBMXM4p
ISSN,ISSN,MCxcAvU
IVA,IVA,MEqD4f5
LP,LP,NdSmI8k
LSD,LSD,NdTwE3T
NIF,NIF,QUs4YvZ
NN,NN,QXiM8Ka
ONG,ONG,R4TmoR1
PCR,PCR,SEuV5Vh
PET,PET,SoqZZMD
PNN,PNN,TSJZosQ
PVC,PVC,UkOAnCk
RDSI,RDSI,VFx0o9A
RNA,RNA,WX66t39
SMS,SMS,Y33DAtg
TNT,TNT,Zv5aljo
USB,USB,bBC7gKG
UVA,UVA,bD3Djdi
VIH,VIH,boT2U1G
