clave,header,rae_id
algún,algún,1oNT36b
ampère,ampère,2RUsypi
aquellos,"aquellos, llas",3MH5fe6
aquelo,aquelo,3MH8U50
aquelos,"aquelos, las",3MHDPUA
aqueso,aqueso,3MZX30e
aquesos,"aquesos, sas",3Mb2ozD
aquesto,aquesto,3Md6DX9
aquestos,"aquestos, tas",3MeP0Xe
bestializarse,bestializarse,5Pa1lZo
bonoloto,bonoloto,5rfgvxt
boîte,boîte,5ltAZe0
chullpi,chullpi,93FixWj
cualesquier,cualesquier,BRMztn0
cualesquiera,cualesquiera,BRN0Op6
cualquier,cualquier,BRfxGm8
cuan,cuan,BRnREbE
cuán,cuán,BRpCzFC
cyclo-cross,cyclo-cross,Bo2hHnb
deso,deso,DEKdXai
desto,desto,DUJUz91
ellos,"ellos, llas",EYDli6v
endeudarse,endeudarse,FCm0mlz
esos,"esos, sas",GSL4kTT
estos,"estos, tas",GvpwejL
faleuco,faleuco,HXPDozH
fondonga,fondonga,IBq7XMS
fondongo,"fondongo, ga",IBqK1SP
house,house,KiQ3lpc
los,"los, las",NcnX1R9
maître,maître,Nwf1tnn
milara,milara,PEjXr1Q
ningún,ningún,QVkXtgV
personalísimo,personalísimo,SjcUDpP
pH,pH,SrEA7mp
quienesquiera,quienesquiera,UpkwhAI
radiobemba,radiobemba,V1WLisn
repelada,repelada,W0uBff3
un,un,b3uuZZA
un,un,b3vJFnW
