clave,header,rae_id
‒́fico,"‒́fico, ca",Hr0C0RL
‒́fobo,"‒́fobo, ba",I8gtgZw
‒́foro,"‒́foro, ra",IGYaabT
‒́fugo,"‒́fugo, ga",IZRzRfV
‒́geno,"‒́geno, na",J56cPrf
‒́gono,"‒́gono, na",JL5MhfD
‒́grado,‒́grado,JOysjvm
‒́grafo,"‒́grafo, fa",JQ5cr8q
‒́ico,"‒́ico, ca",KsOKaaZ
‒́ido,"‒́ido, da",KunRvMp
‒́ido,"‒́ido, da",KupfGGR
‒́il,‒́il,KxPqpET
‒́lisis,‒́lisis,NPxuR3s
‒́logo,"‒́logo, ga",NZTxcTa
‒́mano,"‒́mano, na",OFBUhWs
‒́metro,‒́metro,P8UAjhT
‒́paro,"‒́paro, ra",RxT2UDj
‒́pedo,"‒́pedo, da",SJFh2bH
‒́stato,‒́stato,YU98s1H
‒́tico,"‒́tico, ca",ZibqWJB
‒́trofo,"‒́trofo, fa",akrudvg
‒́voro,"‒́voro, ra",c3oGhJ2
